"","index","org_dvsa_end","org_dvsa_1_end","org_dvsa_2_end","org_dvsa_3_end","org_dvsa_4_end","org_dvsa_5_end"
"1231","3179","First:","البرامج التلفزيونية",NA,NA,NA,NA
"1232","3182","First:,Second:","التلفزيون","الفيس بوك",NA,NA,NA
"1233","3186","First:","المجلس القومي للمرأة",NA,NA,NA,NA
"1234","3189","First:","الفيس بوك",NA,NA,NA,NA
"1235","3194","First:","فيس بوك",NA,NA,NA,NA
"1236","3196","First:,Second:,Third:,Fourth:,Fifth:","المجلس  القومى للمرأة","مكتب الشكاوى بالمجلس القومى للمراة","مركز حقوق المراة","الجمعيات الاهلية","رابطة المرأة العربية"
"1237","3198","First:,Second:","المجلس القومى للمرأة","الامم المتحدة",NA,NA,NA
"1238","3199","First:,Second:","المركز المصري لحقوق المرأة","المجلس القومى للمرأة",NA,NA,NA
"1239","3200","First:","دعم المرأه",NA,NA,NA,NA
"1240","3201","First:,Second:,Third:","المجلس القومي للمرأة","المجلس القومي لحقوق الطفل والمرأة","المجلس القومي لحقوق الإنسان",NA,NA
"1241","3205","First:,Second:,Third:,Fourth:","المجلس القومي للمرأة","النيابة العامة","جمعيات حقوق المرأة","صفحات الفيسبوك والانستجرام",NA
"1242","3211","First:,Second:,Third:,Fourth:,Fifth:","جمعيات حقوق المرأة","جمعيات حقوق الإنسان","جمعيات تأهيل وتدريب المرأة","جروبات نسائيه علي الفيسبوك","الاسره والاهل"
"1243","3214","First:","جميعه حقوق المراه",NA,NA,NA,NA
"1244","3217","First:,Second:,Third:","حكايات نهاد","هى وبس","برنامج زينه",NA,NA
"1245","3218","First:,Second:","دعم المراه","حكايات نهاد",NA,NA,NA
"1246","3224","First:","حقوق المراه و الطفل",NA,NA,NA,NA
"1247","3226","First:,Second:,Third:","مركز النديم","الجمعيه المصريه للتوعيه والصحه النفسيه","مكتب شكاوى المركز القومي للمرأة المعنفه",NA,NA
"1248","3227","First:,Second:,Third:,Fourth:,Fifth:","واتس","فيس","يوتيوب","موقع","انترنت"
"1249","3228","First:","المركز القومى لحقوق المرأة",NA,NA,NA,NA
"1250","3230","First:","جمعيات حقوق المرأه",NA,NA,NA,NA
"1251","3232","First:","البرامج التليفزيونية للمرأة",NA,NA,NA,NA
"1252","3236","First:","برنامج هى وبس",NA,NA,NA,NA
"1253","3241","First:,Second:","الواتس اب","التلفاز",NA,NA,NA
"1254","3249","First:,I do not know any.","جمعية العنف ضد المرأة",NA,NA,NA,NA
"1255","3253","First:,Second:,Third:,Fourth:,Fifth:","فيس بوك","جوجل","تويتر","انستجرام","واتس اب"
"1256","3256","First:","دعم وتمكين المرأة",NA,NA,NA,NA
"1257","3257","First:,Second:,Third:","صفحة احكي","والمبادرة الخاصة بيكم","مؤسسات حقوق الانسان",NA,NA
"1258","3262","First:,Second:,Third:","انتي مش لوحدك","بعض المجموعات النسائية","صفحات دعم المرأة",NA,NA
"1259","3263","First:,Second:","المجلس القومى للمرأه","برنامج حكايات نهاد",NA,NA,NA
"1260","3265","First:,Second:","المجلس القومي للمراه","حكايات نهاد",NA,NA,NA
"1261","3266","First:,Second:","المركز القومي لدعم المراة","حقوق المرأة",NA,NA,NA
"1262","3270","First:","المجلس القومي للمرأة",NA,NA,NA,NA
"1263","3271","First:,Second:,Third:","المركز القومى للمرأة","برامج دعم المرأة","مراكز الامومه و الطفوله",NA,NA
"1264","3273","First:","المجلس القومي للمرأة",NA,NA,NA,NA
"1265","3274","First:,Second:","المجلس القومي للمرآة","حكايات نهاد",NA,NA,NA
"1266","3278","First:,Second:,Third:,Fourth:","جمعيات حقوق الانسان","جمعيات حقوق المرأة","الانترنت","مراكز الدعم النفسي",NA
"1267","3279","First:","الجلس القومي للمرأة",NA,NA,NA,NA
"1268","3280","First:","المجلس القومى لحقوق المرأة",NA,NA,NA,NA
"1269","3283","First:,Second:,Third:,Fourth:,Fifth:","جمعيات حقوق المراه","جمعيات مكافحة التحرش","جمعيات  الدفاع عن المراءة","جعيات حقوق الانسان","قسم"
"1270","3284","First:,Second:","الشرطه","القضاء",NA,NA,NA
"1271","3285","First:,Second:","المجلس القومي للمرأة","حكايات نهاد",NA,NA,NA
"1272","3287","First:,Second:","القومي لحقوق المرأة","البرنامج الاجتماعية",NA,NA,NA
"1273","3291","First:","برنامج حكايات نهاد",NA,NA,NA,NA
"1274","3296","First:,Second:,I do not know any.","حقوق المرأه","حقوق الانسان",NA,NA,NA
"1275","3303","First:,Second:","بيت حواء","مركز النديم",NA,NA,NA
"1276","3304","First:","حقوق المرأه",NA,NA,NA,NA
"1277","3306","First:,I do not know any.","لا اعرف",NA,NA,NA,NA
"1278","3313","First:,Second:","جهاز حماية المرأة المعنفة","حقوق المرأة",NA,NA,NA
"1279","3316","First:","المجلس القومي للمراه",NA,NA,NA,NA
"1280","3317","First:","المجلس القومي للمرأة",NA,NA,NA,NA
"1281","3318","First:,Second:,Third:","المركز القومي للمراة","مراكز استضافة وتوجيه المراه","مركز النديم",NA,NA
"1282","3320","First:","محكمة الأسره نفس",NA,NA,NA,NA
"1283","3326","First:,Second:,Third:,Fourth:,Fifth:","مركز قضايا المرأة المصرية","مكاتب شكاوي المجلس القومي للمرأة","مركز لضحايا العنف الأسري","الجمعية المصرية للتوعية","ملجأ للسيدات المعنفات"
"1284","3331","First:,Second:","مركز المراه","الشرطه",NA,NA,NA
"1285","3333","First:,Second:,Third:,Fourth:","الشرطة","رقم المجلس القومي للمرأة","جروبات توعوية على الفيس","اكونتات على تويتر",NA
"1286","3335","First:,Second:,Third:","فيس","واتس","تليفزيون",NA,NA
"1287","3340","First:,Second:","المجلس القومي للمرأة","جمعيات حقوق الانسان",NA,NA,NA
"1288","3343","First:,Second:","المركز القومى لحقوق المرأة","الجمعية المصرية للتوعية والصحة النفسية",NA,NA,NA
"1289","3345","First:,I do not know any.","الاعلام",NA,NA,NA,NA
"1290","3346","First:,Second:,Third:,Fourth:,Fifth:","برنامج حكايات نهاد","المركز المصري لحقوق المرأة","أصوات النساء","المجلس القومي للمرأة","مركز قضايا المرأة المصرية"
"1291","3348","First:,Second:,Third:,Fourth:","المجلس القومى للمرأة","المركز القومى لحقوق المرأة","سيداو","اليونيسيف",NA
"1292","3349","First:,Second:","المجلس القومي للمرأة","جمعيات حقوق المرأة",NA,NA,NA
"1293","3351","First:,Second:,Third:,Fourth:,Fifth:","جمعيه حقوق المرأه والمجتمع","المركز القومى لمواجهة العنف ضد المرأه","حقوق الإنسان","مبادرة إنتى مش لواحدك","مواقع التواصل الاجتماعي"
"1294","3352","First:,Second:,Third:","المركز القومي لدعم المرأة","حقوق الانسان","حقوق المرأة",NA,NA
"1295","3353","First:,Second:,Third:","المركز المصري لحقوق المراة","المجلس القومي للمراه","جمعية دعم المراة",NA,NA
"1296","3354","First:,Second:","صفحه دعم المراه","انتي مش لوحدك",NA,NA,NA
"1297","3355","First:,Second:","جمعيات اهلبه بدعم المراءة","حقوق الإنسان",NA,NA,NA
"1298","3358","First:","ولمجلس القومى للمرأة",NA,NA,NA,NA
"1299","3362","First:,Second:","دعم المراءة","جبته انقاذ الاسرة",NA,NA,NA
"1300","3363","First:,Second:,Third:","المركز القومي للمراه","جروبات خاصه بالمراه","مواقع لمشامل اجتماعيه وحلولها",NA,NA
"1301","3364","First:","البوليس والمحاكم",NA,NA,NA,NA
"1302","3369","First:,Fourth:","المجلس القومي لحقوق المراه",NA,NA,"لا",NA
"1303","3372","First:","جمعية دعم المرأة",NA,NA,NA,NA
"1304","3373","First:","للاسف معرفش",NA,NA,NA,NA
"1305","3374","First:,Second:","المجلس القومى للمرأة","محكمة الاسرة",NA,NA,NA
"1306","3375","First:,Second:","المجلس القومى للمرأه","برنامج حكايات نهاد",NA,NA,NA
"1307","3378","First:,Second:,Third:,Fourth:,Fifth:","الجهات الحكوميه","حقوق المرأه","الإعلام المصري البعض منه","الشرطه الالكترونيه","أصحاب الرأي النافذ في قضايا المرأه"
"1308","3379","First:","المجلس القومى لحقوق المرأة",NA,NA,NA,NA
"1309","3381","First:,Second:,Third:,Fourth:,Fifth:","صفحة المجلس القومي للمرأة","صفحة المجلس القومي للمرأة","صفحة المجلس القومي للمرأة","صفحة المجلس القومي للمرأة","صفحة المجلس القومي للمرأة"
"1310","3382","First:","السلطات المختصة",NA,NA,NA,NA
"1311","3384","First:","المجلس القومي للمرأة",NA,NA,NA,NA
"1312","3385","First:,Second:","موقع عشانك انت","حكايات نهاد",NA,NA,NA
"1313","3386","First:,Second:,Third:","التليفزيون","الفيس بوك","جهات خاصه بمختصين",NA,NA
"1314","3387","First:,Second:","المجلس القومي للمرأة","جروبات دعم نفسي للمراه",NA,NA,NA
"1315","3389","First:","المجلس القومى للمرأة",NA,NA,NA,NA
"1316","3390","First:","مفيش",NA,NA,NA,NA
"1317","3392","First:,Second:,Third:,Fourth:,Fifth:","المجلس القومى للطفولة والامومة","السلطات المختصة","المجلس المصرى لحقوق المراة","المجلس القومى للمراة","الخط الساخن 19576"
"1318","3393","First:,Second:,Third:","دعم المرأه","جمعيات سيدات الاعمال","المجلس القومي للمراأه",NA,NA
"1319","3394","First:","المجلس القومي للمرأة",NA,NA,NA,NA
"1320","3395","First:,Second:","مجلس الدافع عن حقوق المرأة","مجلس الاعلي للمراة",NA,NA,NA
"1321","3396","First:","المجلس القومى للمرآة",NA,NA,NA,NA
"1322","3397","First:","دعم المرأة",NA,NA,NA,NA
"1323","3398","First:,Second:,Third:","يوتيوب","فيس بوك","واتس اب",NA,NA
"1324","3399","First:,Second:","المجلس القومي للمرأة","النيابة العامة",NA,NA,NA
"1325","3401","First:,I do not know any.","المجلس القومى للمراة",NA,NA,NA,NA
"1326","3403","First:,I do not know any.","هي وبس",NA,NA,NA,NA
"1327","3406","First:","قسم الشرطة",NA,NA,NA,NA
"1328","3408","First:,Second:,Third:,Fourth:","المركز القومى للمرأة","نهاد ابو القمصان","نيرمين سالم","رضوى الشربينى",NA
"1329","3409","First:,Second:,Third:,Fourth:,Fifth:","المركز المصرى لحقوق المرإه","محكمه الاسره","المجلس القومى للمرأه","وزاره التضامن الاجتماعى","المؤسسات الخيريه"
"1330","3413","First:","برامج تليفزيونيه",NA,NA,NA,NA
"1331","3414","First:","المركز القومى لحقوق المرأة",NA,NA,NA,NA
"1332","3417","First:,Second:,Third:,Fourth:,Fifth:","الاعلام","السلطات المختصه","محاكم الاسره والطفل","الجمعيات الاهليه","التلفزيون"
"1333","3418","First:,Second:,Third:,Fourth:,Fifth:","الشارع","البيت","العمل","الجيران","المراهقين"
"1334","3419","First:,I do not know any.","حقوق المرأة",NA,NA,NA,NA
"1335","3422","First:,Second:,Third:","الفيس","الواتس","يوتيوب",NA,NA
"1336","3425","First:,Second:","جمعيات حقوق المرأة","جمعيات الدفاع عن المراة",NA,NA,NA
"1337","3434","First:,Second:,Third:","مركز نديم","مؤسسة المرأة المصريه","بيت حواء",NA,NA
"1338","3438","First:","المجلس القومي لحقوق المرأة",NA,NA,NA,NA
"1339","3440","First:,Second:,Third:","المجلس القومي للمراة","وعي","مركز قضايا المراة",NA,NA
"1340","3441","First:","المجلس القومى للمرأة",NA,NA,NA,NA
"1341","3443","First:","حقوق المرأة",NA,NA,NA,NA
"1342","3447","First:,Second:,Third:,Fourth:,Fifth:","محكمة الاسرة","الإنترنت","دعم المرأة","المرأة والمجتمع","الست المصرية"
"1343","3449","First:,Second:,Third:,Fourth:","الإنترنت","برامج التليفزيون","جمعيات دعم المرأة","الحكومه",NA
"1344","3451","First:,Second:","المجلس القومي للمراه","حقوق المرأه",NA,NA,NA
"1345","3453","First:","انتوا الجهة الوحيده",NA,NA,NA,NA
"1346","3454","First:,Second:,Third:,Fourth:,Fifth:","دعم المراة","دعم المراة","دعم المراة","دعم المراة","دعم المراة"
"1347","3462","First:,Second:,Third:,Fourth:,Fifth:","المجلس القومى للمراة","بعض الجمعيات الاهليه","المجلس القومى للأمومة والطفوله","التضامن الاجتماعي","الأندية النسائية"
"1348","3466","First:","فيسبوك",NA,NA,NA,NA
"1349","3470","First:","المجلس القومي للمراة",NA,NA,NA,NA
"1350","3472","First:,Second:","Facebook","Youtube",NA,NA,NA
"1351","3475","First:","مفيش غير الجروب بتاعكو شوفتو بيدچ عالفيسبوك و حالياً انا متابعاكو عالواتس اب بعد ما قررت اني اقفل السوشيال ميديا تماماً تجنباً لمشاكل كتير من ضمنها صور الاعضاء الجنسيه و الرسايل الجنسية القذره اللي بلاقيها في الـSpam او طلبات الرسايل",NA,NA,NA,NA
"1352","3479","First:","المركز القومى للمرأة",NA,NA,NA,NA
"1353","3480","First:","فيسبوك",NA,NA,NA,NA
"1354","3482","First:","مجلس القومي للمرأة",NA,NA,NA,NA
"1355","3487","First:,Second:","منظمة حقوق المرأة","منظمة الأسرة والطفل",NA,NA,NA
"1356","3488","First:,Second:","المجلس القومي للمرأه","مكاتب المحامين",NA,NA,NA
"1357","3491","First:,Second:,Third:,Fourth:,Fifth:","واتس","التلفزيون","فيس بوك","امي","اختي"
"1358","3492","First:","حقوق المرأة",NA,NA,NA,NA
"1359","3495","First:,I do not know any.","برنامج حكايات نهاد",NA,NA,NA,NA
"1360","3496","First:","دعم المراه",NA,NA,NA,NA
"1361","3501","First:","برنامج حكايات نهاد",NA,NA,NA,NA
"1362","3503","First:","الهيئه القوميه للمرأة",NA,NA,NA,NA
"1363","3505","First:,Second:","دعم المراة","حقوق المراة",NA,NA,NA
"1364","3508","First:,Second:,Third:","برامج تليفزيونيه","المركز القومى للمراه","جمعيات خيريه للمراه",NA,NA
"1365","3510","First:","حكايات نهاد",NA,NA,NA,NA
"1366","3513","First:","برامج التليفزيون",NA,NA,NA,NA
"1367","3515","First:,Second:","الفيس بوك","برامج توعيه في التلفزيون",NA,NA,NA
"1368","3516","First:","المجلس القومي للمرأة",NA,NA,NA,NA
"1369","3517","First:,Second:","انتي مش لوحدك","حكايات نهاد",NA,NA,NA
"1370","3519","First:","مصادر علي الانترنت",NA,NA,NA,NA
"1371","3521","First:,Second:,Third:","خط نجدة المرأة والطفل","المجلس القومي للمرأه والطفل","القضاء",NA,NA
"1372","3522","First:","المجلس القومي للمرأة",NA,NA,NA,NA
"1373","3526","First:","الامومه والطفوله",NA,NA,NA,NA
"1374","3528","First:","رابطه دعم المراءه",NA,NA,NA,NA
"1375","3529","First:","المجلس القومي للمرأة",NA,NA,NA,NA
"1376","3530","First:","المجلس القومي لحقوق  المرأة",NA,NA,NA,NA
"1377","3531","First:,Second:,Third:","المركز المصري لحقوق المرأة","جمعية المرأة والتنمية","المجلس القومي للمرأة",NA,NA
"1378","3534","First:,Second:","فيس بوك","يوتيوب",NA,NA,NA
"1379","3535","First:,Second:","انت مش لوحدك","جمعية حقوق المرأه",NA,NA,NA
"1380","3538","First:","السوشيال ميديا",NA,NA,NA,NA
"1381","3539","First:,I do not know any.","جعفر توك",NA,NA,NA,NA
"1382","3541","First:,Second:","المجلس القومي للمرأة","مركز قضايا المرأة",NA,NA,NA
"1383","3543","First:","انتي مش لوحدك",NA,NA,NA,NA
"1384","3544","First:,Second:","واتساب","فيسبوك",NA,NA,NA
"1385","3547","First:","المجلس القومي للمرأة",NA,NA,NA,NA
"1386","3554","First:","المركز القومي لحقوق المرأة",NA,NA,NA,NA
"1387","3558","First:,Second:","القناه بتاعتكم","جمعيه خيريه عندنا فالبلد اسمها زهور الجنه",NA,NA,NA
"1388","3559","First:","مركز النديم",NA,NA,NA,NA
"1389","3562","First:,Second:,Third:","المرآة والمجتمع","حق المرآة","مبادئ حقوق المرآه",NA,NA
"1390","3564","First:","مراكز حقوق المرأة",NA,NA,NA,NA
"1391","3565","First:,Second:","المجلس القومى للمرأة","المجلس المصرى لحقوق المراة",NA,NA,NA
"1392","3566","First:,Second:,Third:,Fourth:,Fifth:","رضوي الشربيني","هي ربس","الانترنت","كتب عن المراه","فيديوهاتكوا"
"1393","3573","First:,Second:","المجاس القومي للمرأة","المجلس القومي للأمومة والطفولة",NA,NA,NA
"1394","3574","First:,Second:","المجلس القومى للمراة","Un women",NA,NA,NA
"1395","3575","First:","المجلس القومى للمرأه",NA,NA,NA,NA
"1396","3577","First:,Second:,Third:,Fourth:,Fifth:","المركز القومى للمراة","مركز دعم المراة","لا للعنف الاسري","مؤسسة هويدا الدمرداش","اتجوز صح"
"1397","3578","First:,Second:","موقع دعم المرأة","بعض المواقع الاجتماعية",NA,NA,NA
"1398","3580","First:","انتي مش لوحدك",NA,NA,NA,NA
"1399","3583","First:","المركز القومي لحقوق المراه",NA,NA,NA,NA
"1400","3584","First:","دعم المرأه",NA,NA,NA,NA
"1401","3588","First:,Second:","كونسلتو","إضاءات",NA,NA,NA
"1402","3589","First:","دعم المرأة",NA,NA,NA,NA
"1403","3592","First:","دعم المرأه",NA,NA,NA,NA
"1404","3594","First:","المجلس القومي للمرأة",NA,NA,NA,NA
"1405","3595","First:","المجلس القومى للمرأة",NA,NA,NA,NA
"1406","3598","First:,Second:,Third:,Fourth:","حملة انتى مش لوحدك","مجلس القومى للمراة","برنامج حكايات نهاد","جمعيات حماية حقوق المراة",NA
"1407","3600","First:,Second:","المجلس القومي لحقوق المرأه","النيابه العامه",NA,NA,NA
"1408","3608","First:","حقوق الانسان",NA,NA,NA,NA
"1409","3609","First:","المجلس القومى للمراه",NA,NA,NA,NA
"1410","3617","First:,Second:","اليوتيوب","فيديوهات الواتساب والفيس",NA,NA,NA
"1411","3620","First:","محاكم الاسره والطفل",NA,NA,NA,NA
"1412","3621","First:","قضايا المرأة",NA,NA,NA,NA
"1413","3622","First:,Second:,Third:,Fourth:,Fifth:","الطفوله والامومه","المركز القومي للمرأة","الجمعيات الاهليه","التواصل الاجتماعي برامج دعم المرأة","اهل الدين والمشوره"
"1414","3625","First:","صفحه الفيس بوك الخاصه بكم",NA,NA,NA,NA
"1415","3627","First:","أنتي مش لوحدك",NA,NA,NA,NA
"1416","3631","First:","المجلس القومي للمرأة",NA,NA,NA,NA
"1417","3633","First:,Second:","المجلس القومي للمرأة","الجهات الدينية",NA,NA,NA
"1418","3635","First:,Second:,I do not know any.","حقوق المراة","حقوق الانسان",NA,NA,NA
"1419","3638","First:","لا اعرف",NA,NA,NA,NA
"1420","3640","First:,Second:,Third:","المجلس القومي للمراه","الجمعيه الاهليه للمراه","المركز القومي للمراه",NA,NA
"1421","3643","First:,Second:","الفيس","وتس",NA,NA,NA
"1422","3646","First:","برنامج مع نهاد",NA,NA,NA,NA
"1423","3652","First:","المجلس القومي للمراءه",NA,NA,NA,NA
"1424","3654","First:","انتي مش لوحدك",NA,NA,NA,NA
"1425","3656","First:,Second:","منظمة الصحة العالمية","منظمات المرأة والطفل",NA,NA,NA
"1426","3657","First:,Second:","الجمعيات النسائية","البرامج التليفزيونية",NA,NA,NA
"1427","3658","First:,Second:","المركز القومى. لحقوق المرأة","بعض البرامج الحوارية المهتم بقضايا المرأة",NA,NA,NA
"1428","3659","First:,Second:,Third:","جمعية المرأة و التنمية","جمعية المرأة المصريةللتوعية","مركز قضايا المرأة المصرية",NA,NA
"1429","3666","First:","برنامج دكتوره نهاد ابو القمصان",NA,NA,NA,NA
"1430","3667","First:,Second:","الجلس القومي لحقوق المرأه","بعض صفحات الدعم علي الفيس بوك",NA,NA,NA
"1431","3669","First:,Second:,Third:","المجلس القومي للمرأة","لجان حماية الامومة والطفولة","رجال الدين اسلامى ومسيحى",NA,NA
"1432","3680","First:","دعم المرأة",NA,NA,NA,NA
"1433","3682","First:","الوتساب بتاعكم",NA,NA,NA,NA
"1434","3685","First:,Second:,Third:,Fourth:","المركز القومي للمرأه","دعم المرأه للدكتورة نهاد ابو القمصان","برنامج حكايات نهاد","المسجد",NA
"1435","3687","First:,Second:,Third:,Fourth:,Fifth:","فيسبوك","واتساب","السلطات","النساء","انستجرام"
"1436","3690","First:,Second:,Third:","المجلس القومي للمراه","المجلس القومي لحقوق الانسان","المجلس القومي للمراه والطفل",NA,NA
"1437","3692","First:,Second:,Third:","التلفزيون","فيسبوك","برنامج دعم المرأه",NA,NA
"1438","3693","First:,Second:,Third:","حقوق المراه","وسائل الاعلام","السوشيال ميديا",NA,NA
"1439","3694","First:,Second:","دعم المرأة","انتى مش لوحدك",NA,NA,NA
"1440","3695","First:","16000",NA,NA,NA,NA
"1441","3696","First:,Second:","المجلس القومي المراءة","المجلس المصري المراءة",NA,NA,NA
"1442","3699","First:","المركز القومي للمرأة",NA,NA,NA,NA
"1443","3702","First:,Second:,Third:","دعم المراه","الجروبات النسائية","البرامج التلفزيونيه",NA,NA
"1444","3703","First:,Second:,Third:","دعم المراه","حقوق الانسان","هيومن ريتس",NA,NA
"1445","3705","First:","المجلس القومي للمرأة",NA,NA,NA,NA
"1446","3708","First:","لا اتذكر الآن",NA,NA,NA,NA
"1447","3710","First:,Second:","مركز دعم المرأة","جمعيات اهلية لمساندة قضايا المرأة",NA,NA,NA
"1448","3711","First:","الكنيسه أو الجامع",NA,NA,NA,NA
"1449","3712","First:","مركز حقوق المرأة",NA,NA,NA,NA
"1450","3713","First:,Second:,Third:","جمعيه تنميه المجتمع","المجلس القومى للمراه","الجمعيات النساءيه",NA,NA
"1451","3718","First:","المجلس القومي للمرأة",NA,NA,NA,NA
"1452","3719","First:,Second:,Third:,Fourth:","المجلس القومي للمرأة","دعم المرأة","لا اعرف","لا اعرف",NA
"1453","3721","First:","المجلس القومي للمرأة",NA,NA,NA,NA
"1454","3723","First:,Second:,Third:","المجلس القومي للمراه","المجلس القومي للأمومة والطفولة","المركز المصري لحقوق المرأة",NA,NA
"1455","3724","First:,Second:,Third:,Fourth:,Fifth:","مجلس خقوق المراة","دغم السيدات المعنفات","مواقع على الفيس","استشاريين اسريين","اطباء علم نفس"
"1456","3726","First:","المجلس القومي للمراه",NA,NA,NA,NA
"1457","3732","First:,Second:","برنامج نهاد","اي برنامج اجتماعي",NA,NA,NA
"1458","3735","First:,Second:","الفيس","اليوتيوب",NA,NA,NA
"1459","3736","First:","المجلس القومي للمراة",NA,NA,NA,NA
"1460","3738","First:","المركز القومي للمرأة",NA,NA,NA,NA
"1461","3744","First:","المجلس القومى للمرأة",NA,NA,NA,NA
"1462","3746","First:","برامج تليفزيونية",NA,NA,NA,NA
"1463","3751","First:","المركز القومي لدعم المرأة",NA,NA,NA,NA
"1464","3752","First:","المجلس القومى المرأة",NA,NA,NA,NA
"1465","3753","First:,Second:,Third:,Fourth:,Fifth:","حقوق المراءه","لا اعرف","دعم المراءه","لا اعرف","لا اعرف"
"1466","3754","First:,Second:,Third:","التليفزيون","الانترنت والسوشال ميديا","ومكاتب الاستشارات الاسريه",NA,NA
"1467","3756","First:,Second:,Third:","اليوتيوب","الفيسبوك","برامج  عن العنف المنزلى",NA,NA
"1468","3758","First:,Second:,Third:","جربات العلاقات الاسريه","مستشار الاسره","عالم المراه",NA,NA
"1469","3759","First:,Second:,Third:","انتى مش لوحدك","لجنه حقوق المرأه","امانه المراه",NA,NA
"1470","3760","First:,Second:","مجلس حقوق المراه","التضامن",NA,NA,NA
"1471","3763","First:,Second:,Third:,Fourth:,Fifth:","مركز قضايا المرأة المصريه","المجلس القومي للمرأة المعنفه","مركز النديم لضحايا العنف الأسرى","الجمعيه المصريه التوعيه والصحه النفسيه","بيت حواء"
"1472","3768","First:,Second:,Third:,Fourth:","الخطوط الساخنه لدعم المراه","بعض المواقع والصفحات علي السوشيال ميديا","برامج التلفزيون والاذاعه","الوزارات والمؤسسات المخصصه",NA
"1473","3770","First:,Second:,Third:,Fourth:,Fifth:","المركز المصرى لحقوق المرأه","صفحات للمرأه","جهات مختصه لحل مشاكل المرأه","جهات لدعم المرأه","الاتصال بالخط الساخن للحقوق المرأه"
"1474","3773","First:,Second:,Third:,Fourth:","دعم المرأه","حقوق المرأه","هي وبس","حقوق الإنسان",NA
"1475","3777","First:,Second:","نهاد","دعم المرآة",NA,NA,NA
"1476","3780","First:","مركز دعم المرأة",NA,NA,NA,NA
"1477","3783","First:,Second:,Third:","حكايات نهاد","التاسعه مساء","مع رضوى الشربينى",NA,NA
"1478","3784","First:","برنامج حكايات نهاد",NA,NA,NA,NA
"1479","3785","First:,Second:,Third:,Fourth:,Fifth:","من خلال استمارات حقوق المراه","دعم وحقوق المرأة","المجلس القومى للمراه","فيديوهات ترسلوه لى","فيديوهات ع الفيس"
"1480","3787","First:,Second:,Third:,Fourth:,Fifth:","برنامج نهاد","برنامج مني عراقي","عمرو منتصر","مؤسسة حقوق المراه","الشؤون الاجتماعية"
"1481","3789","First:,Second:","مركز صحة المراة","حقوق الانسان",NA,NA,NA
"1482","3790","First:","قسم الشرطه",NA,NA,NA,NA
"1483","3798","First:,Second:,Third:,Fourth:,Fifth:","مكتب شكاوي المراؤه","صندوق دعم المراءه","الجمعيات الاهليه يوجد بها دعم للمراءه المتضرره","السلطات القانونيه","..."
"1484","3801","First:,Second:,Third:","الأستاذة.نهاد","اليوتيوب","الفيسبوك",NA,NA
"1485","3805","First:,Second:","المركز القومى للمرأة","منظمة حقوق المرأة",NA,NA,NA
"1486","3810","First:","جمعيات المرأة",NA,NA,NA,NA
"1487","3813","First:,Second:","معاهد المشورة الأسرية","المركز القومى للمرأة",NA,NA,NA
"1488","3815","First:,Second:,Third:,Fourth:,Fifth:","المجلس القومي للمرأة","مركز قضايا المرأة المصرية","مركز النديم لمكافحة العنف الأسري","بيت حواء","جمعية المرأة والتنمية"
"1489","3818","First:","المجلس القومي للنرأة",NA,NA,NA,NA
"1490","3821","First:,Second:,Third:","الشرطه","المجلس القومي للمراءه","15115",NA,NA
"1491","3823","First:","بوليس اسسلت",NA,NA,NA,NA
"1492","3825","First:","جميعة حقوق المرأة",NA,NA,NA,NA
"1493","3827","First:,Second:,Third:,Fourth:,Fifth:","اليوتيوب","برامج المرأه","برامج دعم المرأه","برامج عنف","برامج محاكم الاسره"
"1494","3831","First:,Second:","المجلس الاعلي للمراة","جمعيات قضايا المراة",NA,NA,NA
"1495","3832","First:","المجلس القومي للمرأه",NA,NA,NA,NA
"1496","3833","First:","المجلس القومي للمرأة",NA,NA,NA,NA
"1497","3837","First:","المجلس القومي للمرأة",NA,NA,NA,NA
"1498","3839","First:,Second:","المجلس القومى لحقوق الإنسان","المجلس القومى لحقوق المرأة",NA,NA,NA
"1499","3844","First:","المجلس القومى للمرأة",NA,NA,NA,NA
"1500","3846","First:","المؤسسات المعنية بحقوق المرأة مثل المجلس القومي للأمومة الطفولة",NA,NA,NA,NA
"1501","3847","First:,Second:","دعم المراة","وحضرتك طبعا",NA,NA,NA
"1502","3851","First:","المركز القومي للمرأة",NA,NA,NA,NA
"1503","3853","First:,Second:,Third:","حقوق المرأه","مجلس القومي للمراءه","وزاره الداخليه",NA,NA
"1504","3857","First:,Second:,Third:,Fourth:","المجلس القومي للمراءة","برنامج نهاد","يوتيوب","واتس",NA
"1505","3858","First:","جروب society problems",NA,NA,NA,NA
"1506","3860","First:,Second:","جروب دعم لنهاد علي الواتساب","جروب مشكلة عضوة علي الفيس",NA,NA,NA
"1507","3862","First:","حكايات نهاد",NA,NA,NA,NA
"1508","3864","First:","الشرطة",NA,NA,NA,NA
"1509","3866","First:,Second:,Third:,Fourth:,Fifth:","الهيئة الوطنية لمقاومة العنف المنزلي","الاتصال ب 911","المحكمة المحلية","شخص اثق فيه","مكتب شكاوى المجلس القومى للمرأة"
"1510","3867","First:,I do not know any.","برنامج هى وبس",NA,NA,NA,NA
"1511","3869","First:,Second:,Third:","المجلس القومي لحقوق المرأه","الدكتوره نهاد ابو القمصان","مكتب شكاوي المرآه نصف المجتمع",NA,NA
"1512","3870","First:,Second:","انتي مش لوحدك","حكايات نهاد",NA,NA,NA
"1513","3872","First:,Second:","المجلس القومي للمراة","منظمات حقوق المراة",NA,NA,NA
