"","index","online_dvsa_end","online_dvsa_1_end","online_dvsa_2_end","online_dvsa_3_end","online_dvsa_4_end","online_dvsa_5_end"
"1215","3205","First:,Second:,Third:","assaultpolice","feminism groups","girls groups (saraha accounts(",NA,NA
"1216","3206","First:,Second:,Third:","Face book","Youtube","Instagram",NA,NA
"1217","3210","First:,Second:,Third:","الفيس بوك","اليوم السابع","البرامج التلفزيونيه",NA,NA
"1218","3211","First:,Second:,Third:,Fourth:,Fifth:","الجروبات النسائيه علي الفيس بوك","جروبات حقوق المراءه","برامج التوعيه علي السوشيال ميديا","جمعيات حماية المراه","احيانا جروبات علي الفيس بوك"
"1219","3217","First:,Second:,Third:","المجلس القومي للمرأة","الهيئه الوطنيه المقاومه للعنف الأسري","المجلس المصري لحقوق المرأة",NA,NA
"1220","3219","First:,Second:,Third:,Fourth:","اليوتيوب","فيس بوك","واتس","تويتر",NA
"1221","3224","First:,Second:","الفيس بوك","التويتر",NA,NA,NA
"1222","3226","First:,Second:,Third:,Fourth:","المجلس القومي للمرأة والطفل","مركز قضايا المرأة","مركز النديم","الجمعيه المصريه للتوعيه والصحه النفسيه",NA
"1223","3227","First:,Second:,Third:,Fourth:,Fifth:","واتس","فيس بوك","يوتيوب","تليفزيون","مواقع"
"1224","3228","First:","المركز القومى لحقوق المرأة",NA,NA,NA,NA
"1225","3229","First:,Second:,Third:","اليوتيوب","الفيس بوك","التويتر",NA,NA
"1226","3232","First:","برامج المرأة",NA,NA,NA,NA
"1227","3241","First:,Second:,Third:","الفيس بوك","الواتس اب","جوجل",NA,NA
"1228","3250","First:","Facebook",NA,NA,NA,NA
"1229","3253","First:,Second:,Third:,Fourth:,Fifth:","فيس بوك","واتس اب","جوجل","تويتر","انستجرام"
"1230","3254","First:,Second:","الفيس بوك","اليوتيوب",NA,NA,NA
"1231","3256","First:","تمكين ودعم المراه",NA,NA,NA,NA
"1232","3257","First:,Second:,Third:,Fourth:","صفحة احكي ع فيسبوك","الاخبار في صفحة اليوم السابع","الجروبات النسائية","صفحة society problem",NA
"1233","3260","First:,Second:","المجلس القومي للمراة","دعم المراة",NA,NA,NA
"1234","3262","First:,Second:,Third:","صفحات دعم المراة","مجموعات نسائية مختصة","دكاترة نفسيين",NA,NA
"1235","3263","First:,Second:,Third:","المجلس القومى للمرأه","تتوجه لدكتوره نفسيه","المجلس القومى للمرأه",NA,NA
"1236","3264","First:","لا يوجد مصادر معينة بحد ذاته يعني المقالات الشائعة فقط",NA,NA,NA,NA
"1237","3265","First:,Second:","المجلس القومي للمراه","فديوهات المبادره مم دكتوره نهاد",NA,NA,NA
"1238","3266","First:,Second:,Third:","دعم حقوق الإنسان","حقوق المرأة","المركز القومي للمرأة",NA,NA
"1239","3271","First:,Second:,Third:","المجلس القومى للمرأة","مركز الامومه و الطفوله","برنامج دعم المراءه",NA,NA
"1240","3273","First:","فيسبوك",NA,NA,NA,NA
"1241","3274","First:,Second:","حكايات نهاد","المجلس القومي للمرآة",NA,NA,NA
"1242","3276","First:,Second:,Third:,Fourth:,Fifth:","الفيس","الوتس","النت","التلفزيون","الصحافه"
"1243","3277","First:","فيس بوك",NA,NA,NA,NA
"1244","3278","First:,Second:,Third:","مؤسسات حقوق الإنسان","جمعيات حقوق المرأة","الانترنت",NA,NA
"1245","3279","First:","ببحث عن الموضوع في جوجل وبفتح المواقع اللي بتظهر",NA,NA,NA,NA
"1246","3280","First:","المجلس القومى للمرأة",NA,NA,NA,NA
"1247","3283","First:,Second:,Third:,Fourth:,Fifth:","جوجل","ويكبيديا","كتب","يوتيوب","مقالات"
"1248","3284","First:,Second:","فيس بوك","التلفزيون",NA,NA,NA
"1249","3285","First:,Second:","المجلس القومي للمرأة","حكايات نهاد",NA,NA,NA
"1250","3287","First:,Second:,Third:,Fourth:","فيسبوك","يوتيوب","واتساب","مواقع إخبارية",NA
"1251","3291","First:,Second:,Third:","حقوق الطفل والمراه","محكمة الاسرة علي ما اعتقد<U+0001F602>","نكلم استاذه نهاد بقي<U+2665><U+0001F602>",NA,NA
"1252","3292","First:,Second:","بعض صفحات النسايية","جروبات البنات",NA,NA,NA
"1253","3293","First:","مجلس حقوق المرآة",NA,NA,NA,NA
"1254","3297","First:","حكايات نهاد",NA,NA,NA,NA
"1255","3303","First:,Second:","فيس بوك","يوتيوب",NA,NA,NA
"1256","3304","First:","فيسبوك",NA,NA,NA,NA
"1257","3305","First:,Second:","الفيس بوك","اليوتيوب",NA,NA,NA
"1258","3310","First:,Second:,Third:,Fourth:,Fifth:","حقوق الإنسان","برنامج حكايات نهاد","الشرطه","الانترنت","حقوق المرأة"
"1259","3313","First:,Second:,Third:","الفيس بوك","التويتر","الواتساب",NA,NA
"1260","3316","First:,Second:,Third:,Fourth:,Fifth:","البوم السابع","الوفد","هيا","المراة","فوج"
"1261","3317","First:","المجلس القومي للمرأة",NA,NA,NA,NA
"1262","3318","First:,Second:,Third:","المجلس القومي للمراة","مراكز استضافة وتوجيه المراة","مركز النديم",NA,NA
"1263","3322","First:,Second:","المواقع","الصحف",NA,NA,NA
"1264","3324","First:","المجلس القومي للمرأة",NA,NA,NA,NA
"1265","3325","First:,Second:","قاوم","كابتن مينا سمير",NA,NA,NA
"1266","3331","First:,Second:","المركز القومى للمراه","مركز الامومه والطفوله",NA,NA,NA
"1267","3333","First:,Second:,Third:,Fourth:,Fifth:","اكونتات على تويتر","صفحات نسوية على الفيس","اكونتات على الإنستا","مباحث الإنترنت","الخط الساخن للمرأة"
"1268","3335","First:,Second:,Third:,Fourth:","فيس بوك","واتساب","برامج علي يوتيوب","برامج في التليفزيون",NA
"1269","3340","First:,Second:","المجلس القومي للمرأة","جمعيات حقوق الانسان",NA,NA,NA
"1270","3343","First:,Second:","مركز النديم","بيت حواء",NA,NA,NA
"1271","3346","First:,Second:,Third:,Fourth:,Fifth:","حكايات نهاد","المركز المصري لحقوق المرأة","أصوات النساء","المجلس القومي للمرأة","مركز قضايا المرأة المصرية"
"1272","3348","First:,Second:,Third:","المجلس القومى للمرأة","المركز المصرى لخقوق المرأة","اليونيسيف",NA,NA
"1273","3349","First:,Second:,Third:","جمعيات حقوق المرأة","المجلس القومي للمرأة","المراكز الدعم النفسي",NA,NA
"1274","3351","First:,Second:,Third:,Fourth:,Fifth:","إنتى مش لوحدك","جمعية حقوق المرأه والمجتمع","حقوق الإنسان","المركز القومى لمواجهة العنف ضد المرأه","المواقع الاجتماعيه"
"1275","3352","First:,Second:,Third:","حقوق المرأة","المركز القومي لدعم المرأة","حقوق الانسان",NA,NA
"1276","3353","First:,Second:","المجلس القومي للمراه","جمعية دعم المراة",NA,NA,NA
"1277","3354","First:,Second:","موقع دعم المرأه","انتي مش لوحدك",NA,NA,NA
"1278","3355","First:,Second:,Third:,Fourth:","مركز دعم المراءة على الفيس بوك","فيديوهات على اليوتيوب","فيديوهات عن طريق الواتس","صفحات دعم المراءة ومواجهة العنف الاسرى",NA
"1279","3361","First:,I do not know any.","دعم المرأة",NA,NA,NA,NA
"1280","3362","First:,Second:","دعم المرأءة","جبته انقاذ الاسرةةالمصريه",NA,NA,NA
"1281","3363","First:,Second:,Third:","المركز القومي للمراه","برامج خاصه بالمراه","مشاكل مشابهه وقراآة الحلول في جروبات المراه",NA,NA
"1282","3364","First:,Second:,Third:","الانتر نت","برامج دعم المرأة زي انتي مش لواحدك","جروبات للبنات عالفيس بوك",NA,NA
"1283","3369","First:","مجلس حقوق المراه",NA,NA,NA,NA
"1284","3372","First:","جمعية دعم المرأة",NA,NA,NA,NA
"1285","3373","First:","للاسفزمش بتواصل مع حد",NA,NA,NA,NA
"1286","3375","First:,Second:","برنامج حكايات نهاد","المجلس القومى للمرأه",NA,NA,NA
"1287","3376","First:","يونسيف",NA,NA,NA,NA
"1288","3378","First:,Second:,Third:,Fourth:,Fifth:","الكتب","مواقع التواصل الاجتماعي","التشاور العائلي","البرامج الاجتماعيه","التوعيه"
"1289","3381","First:,Second:,Third:,Fourth:,Fifth:","صفحة المجلس القومي المرأة","صفحة النائب العام","جروب قاوم لمكافحة الابتزاز والتحرش","جروب مبروك انت متحرش مشهور إلكترونيا قبل غلقه","خط النجدة"
"1290","3383","First:,Second:","تتوجه للمجلس القومي للمرأة","مكتب الشكاوى التابع للمجلس القومي للمرأة",NA,NA,NA
"1291","3384","First:","المجلس القومي للمرأة",NA,NA,NA,NA
"1292","3385","First:,Second:","عشانك انت","الواتس",NA,NA,NA
"1293","3386","First:,Second:","الواتساب","الفيس بوك",NA,NA,NA
"1294","3387","First:,Second:,Third:","المجلس القومي للمرأة","تقديم شكوي للجهات المختصة عن طريق البريد الالكتروني","جروبات دعم المرأة المتضررة",NA,NA
"1295","3388","First:,Second:,Third:,Fourth:,Fifth:","كلام ستات","بنات اسيوط","امهات وحوامل ذي القمر","كوني قويه","كلام ستات مع اسراء يسري"
"1296","3389","First:,Second:,Third:","المجلس القومى للمرأة","حلقات سحر النادى","فيديو دعم وتمكين المرأة",NA,NA
"1297","3390","First:","معرفش",NA,NA,NA,NA
"1298","3392","First:,Second:,Third:,Fourth:,Fifth:","دعم المراة","فيديوهات يوتيوب","صفحة المجلس المصرى لحقوق المراة","صفحة المجلس القومى للطفولة والامومة","فيديوهات لبرامج تليفزيونية تتحدث عن المرأة"
"1299","3395","First:,Second:,Third:,Fourth:,Fifth:","مجلس الاعلي للمراة","صفحات لا تتحرش","صفحات انستجرام لسرد قصص التحرش والاغتصاب","صفحات دعم المرأة لأستاذ ناهد ابو الاقمصان","لايوجد"
"1300","3397","First:","دعم المرأة",NA,NA,NA,NA
"1301","3398","First:,Second:","يوتيوب","فيس بوك",NA,NA,NA
"1302","3399","First:,Second:,Third:","الفيبسوك","جوجل","الانستجرام",NA,NA
"1303","3400","First:,Second:,Third:,Fourth:,Fifth:","الانترنت","التلفزيون","الصحف","الواتساب","الفيسبوك"
"1304","3401","First:,Second:,Third:,Fourth:,Fifth:","الواتساب","الفيس بوك","انستجرام","تويتر","اليوتيوب"
"1305","3403","First:,Second:,Third:,Fourth:,Fifth:","أشخاص من الاسره","السلطات المختصه","الانترنت","التحدث مع الزوج","التحدث مع أشخاص مقربين"
"1306","3404","First:,Second:,Third:,Fourth:,Fifth:","جوجل","برنامج نهاد ابو القمصان","الفيس بوك","تويتر","يوتيوب"
"1307","3408","First:,Second:,Third:","المركز القومى للمرأة","Nehad abo elqomsan","Nermeen salem",NA,NA
"1308","3409","First:,Second:,Third:,Fourth:,Fifth:","المركز المصري لحقوق المرأه","المجلس القومى للمرأه","السلطات المختصه","محكمه الاسره","المركز القومى للامومه والطفوله"
"1309","3413","First:,Second:,Third:","جروبات اجتماعيه","اجتماعيات","جروبات اصدقاء",NA,NA
"1310","3414","First:","المركز القومى لحقوق المرأة",NA,NA,NA,NA
"1311","3417","First:,Second:,Third:,Fourth:,Fifth:","فيسبوك","الاعلام","واتساب","تويتر","تليجرام"
"1312","3418","First:,Second:,Third:,Fourth:","الشلرع","البيت","العمل","الجيران",NA
"1313","3422","First:,Second:","الفيس","الواتس",NA,NA,NA
"1314","3425","First:,Second:,Third:","جوجل","جمعية حقوق الإنسان","جمعيات حقوق المرأة",NA,NA
"1315","3434","First:,Second:,Third:","بيت حواء","بيت نديم","مؤسسة المرأة المصريه",NA,NA
"1316","3440","First:,Second:,Third:","مركز وعي","مركز قضايا المراة","المجلس القومي للمراة",NA,NA
"1317","3441","First:,Second:,Third:","المجلس القومى للمرأة","خطوط ساخنة لمواجهه التحرش الجنسى و العنف المنزلى","النجدة الشرطة",NA,NA
"1318","3446","First:,Second:,Third:,Fourth:,Fifth:","لمجلس القومي للمراه","مكتب شاوي المراه","الستات ميعرفوش يكدبوا","معكم مني الشاذلي","واحد من الناس"
"1319","3447","First:,Second:,Third:,Fourth:","رضوة الشرببني","دعم المراة","ستات ببوت","لا لقهر النساء",NA
"1320","3449","First:,Second:,Third:","الفيسبوك","جروبات الواتساب","الأخبار",NA,NA
"1321","3451","First:,Second:","يوتيوب","فيس بوك",NA,NA,NA
"1322","3453","First:,Second:","الفيسبوك","واتساب",NA,NA,NA
"1323","3462","First:,Second:","الفيس بوك","جوجل",NA,NA,NA
"1324","3466","First:,Second:","الفيسبوك","الواتس اب",NA,NA,NA
"1325","3469","First:","ماعرفش غير فيديوهات اليوتيوب",NA,NA,NA,NA
"1326","3470","First:,Second:,I do not know any.","انتي مش لوحدك","المجلس القومي للمراة",NA,NA,NA
"1327","3472","First:,Second:,Third:","Facebook","Youtube","Watsup",NA,NA
"1328","3476","First:,Second:,Third:,I do not know any.","ف صفحات زي اعترافات الناس بتبعت المشاكل خاص وتقرا الردود","أو socity problem","هي وبس الصفحه",NA,NA
"1329","3479","First:","المركز القومى للمرأة",NA,NA,NA,NA
"1330","3480","First:,Second:,Third:","فيسبوك","تويتر","يوتيوب",NA,NA
"1331","3484","First:","المجلس القومي لحقوق المرأه",NA,NA,NA,NA
"1332","3486","First:","الوعى الاسرى",NA,NA,NA,NA
"1333","3487","First:,Second:,Third:,Fourth:,Fifth:","الاهل","السلطات","منظمة حقوق المراة","الانترنت فيديوهات دعم المراة","الابلاغ عن المعتدى أهم شى"
"1334","3488","First:,Second:,Third:","المجلس القومي لحقوق المرأه","اقسام الشرطه","النجده",NA,NA
"1335","3490","First:","حقوق المرأه",NA,NA,NA,NA
"1336","3491","First:,Second:","فيس بوك","واتس",NA,NA,NA
"1337","3492","First:,Second:","حكايات نهاد","هي وبس",NA,NA,NA
"1338","3493","First:","جمعية حقوق المرأه",NA,NA,NA,NA
"1339","3496","First:","دعم المرأة",NA,NA,NA,NA
"1340","3499","First:,I do not know any.","دعم المرأة علي الواتساب",NA,NA,NA,NA
"1341","3501","First:,Second:","المجلس القومي للمرأة","دعم المرأة المصرية",NA,NA,NA
"1342","3503","First:","الهيئه القوميه للمرأة",NA,NA,NA,NA
"1343","3506","First:,Second:","جوجل","ويكيبديا",NA,NA,NA
"1344","3508","First:,Second:,Third:","فيس بوك","واتس اب","يوتيوب",NA,NA
"1345","3514","First:,Second:,Third:","التليفزيون","النت","الفيس",NA,NA
"1346","3515","First:,Second:","الفيس بوك","تويتر",NA,NA,NA
"1347","3516","First:","المجلس القومي للمرأة",NA,NA,NA,NA
"1348","3519","First:","مصادر. وجمعيات الحفاظ علي حقوق المرأة علي الانترنت والجهات التي تعطي نصائح للتعامل مع العنف المنزلي",NA,NA,NA,NA
"1349","3521","First:,Second:,Third:","خط نجدة الطفل","المجلس القومي للمرأة","مباحث الانترنت",NA,NA
"1350","3522","First:,Second:,Third:","المجلس القومي للمرأة","امسك متحرش","النيابة العامة المصرية",NA,NA
"1351","3526","First:","16000",NA,NA,NA,NA
"1352","3528","First:","رابطه دعم المراءه",NA,NA,NA,NA
"1353","3529","First:,Second:","جروبات علي الفيس بوك","من خلال البحث في جوجل",NA,NA,NA
"1354","3531","First:,Second:","المركز المصري لحقوق المرأة","المجلس القومي للمرأة",NA,NA,NA
"1355","3534","First:,Second:","فيس بوك","يوتيوب",NA,NA,NA
"1356","3535","First:,Second:","انت مش لوحدك","حقوق المرأه",NA,NA,NA
"1357","3538","First:,Second:,Third:,Fourth:","فيسبوك","بعض الجرائد","قنوات التلفزيون","السوشيال ميديا",NA
"1358","3539","First:","جعفر توك",NA,NA,NA,NA
"1359","3542","First:,Second:","المجلس القومي للمرأة","حكايات نهاد",NA,NA,NA
"1360","3543","First:","انتي مش لوحدك",NA,NA,NA,NA
"1361","3544","First:,Second:,Third:,Fourth:","واتساب","فيسبوك","اليوتيوب","انستجرام",NA
"1362","3547","First:,Second:","المجلس القومي للمرأة","كلام نهاد",NA,NA,NA
"1363","3549","First:,Second:","جمعيات حقوق المرأه","فيه رقم للعنف المنزلي انا مش متذكراه",NA,NA,NA
"1364","3551","First:","Police assault",NA,NA,NA,NA
"1365","3554","First:","انت مش لوحدك",NA,NA,NA,NA
"1366","3559","First:","مركز النديم",NA,NA,NA,NA
"1367","3562","First:,Second:,Third:,Fourth:","حق المرآة","مبادئ حقوق المرآة","العنف ضد المرآه","المرآة والمجتمع",NA
"1368","3563","First:,Second:,Third:","د هويدا الدمرداش","د هالة سمير","برنامج المرأة",NA,NA
"1369","3564","First:,Second:,Third:","المركز المصرى لحقوق المرأة","المركز القومى لحقوق المرأة","تراسل ا. نهاد ابو القمصان بما انها حقوقية وهتوجهها صح وقانونا",NA,NA
"1370","3565","First:,Second:","المجلس القومى للمرأة","المجلس المصرى لحقوق المرأة",NA,NA,NA
"1371","3566","First:,Second:,Third:,Fourth:,Fifth:","Google","Instgram","Facebook","المكتب","الانترنت"
"1372","3569","First:,Second:","المجلس القومي للمراه","المجلس القومي للطفوله والامومه",NA,NA,NA
"1373","3571","First:","جروب سينجل مازرز",NA,NA,NA,NA
"1374","3573","First:,Second:","موقع المجلس القومي للمرأة","موقع المجلس القومي للأمومة والطفولة",NA,NA,NA
"1375","3574","First:,Second:","المجلس القومى للمرأة","بعض المنظمات والجمعيات الاهلية",NA,NA,NA
"1376","3575","First:,I do not know any.","المجلس القومى للمرأة",NA,NA,NA,NA
"1377","3576","First:,Third:,Fourth:","فيس بوك",NA,"واتس اب","جوجل",NA
"1378","3577","First:,Second:,Third:,Fourth:,Fifth:","المركز القومى للمرأة","مركز دعم وتنمية المرأة","جروب لا للعنف الاسري","كسر حاجز الصمت لا للعنف الاسري","الفيس بوك"
"1379","3578","First:,Second:","مواقع نسائية","موقع دعم المرأة",NA,NA,NA
"1380","3580","First:,Second:","مؤسسة دعم المرأة","انتي مش لوحدك",NA,NA,NA
"1381","3583","First:,Second:","المركز المصري لحقوق  المراه","المجلس القومي للمراه",NA,NA,NA
"1382","3584","First:","دعم المرأه",NA,NA,NA,NA
"1383","3585","First:,Second:","فيسبوك","يوتيوب",NA,NA,NA
"1384","3589","First:","دعم المرأة",NA,NA,NA,NA
"1385","3594","First:,Second:,Third:","صفحة المجلس القومي للمرأة","جمعية حماية المرأة والطفل","حقوق الانسان",NA,NA
"1386","3595","First:","المجلس القومى للمرأة",NA,NA,NA,NA
"1387","3596","First:,Second:,Third:,Fourth:,Fifth:","جوجل","فيسبوك","واتس","انستجرام","تويتر"
"1388","3598","First:,Second:,Third:,Fourth:,Fifth:","حملة انتى مش لوحدك","مجلس القومى للمراة","جمعيات دعم وتمكين المراة","الشخصيات الإعلامية المدافعة عن قضايا وحقوق المراة","السلطات المختصة"
"1389","3600","First:","المجلس القومي للمرأه",NA,NA,NA,NA
"1390","3601","First:,Second:,Third:,Fourth:","المجلس القومى لحقوق المرأة","المجتمعات التنموية","مؤسسات الدولة","المجلس القومى لحقوق الإنسان",NA
"1391","3604","First:,Second:","المجلس القومي لحقوق المرأه","المجلس القومي للأمومة والطف له",NA,NA,NA
"1392","3608","First:,Second:,Third:,I do not know any.","حقوق المراءة","العنف الاسرى","العنف ضد المراءة",NA,NA
"1393","3617","First:","اليوتيوب",NA,NA,NA,NA
"1394","3619","First:,Second:,I do not know any.","مباحث الانترنت","شرطة النجدة",NA,NA,NA
"1395","3620","First:","حكايات نهاد",NA,NA,NA,NA
"1396","3621","First:,I do not know any.","قضايا المرأة",NA,NA,NA,NA
"1397","3622","First:,Second:,Third:,Fourth:,Fifth:","الامومه والطفوله","المركز القومي للمرأة","بعض الجمعيات الأهلية","مواقع دعم المرأة علي الواتس","اهل الثقه من الامه ثم الجمعيات الاهليه"
"1398","3627","First:","أنتي مش لوحدك",NA,NA,NA,NA
"1399","3629","First:,Second:,Third:","الفيس بوك","دعم المراة","الواتس اب",NA,NA
"1400","3631","First:","المجلس القومي للمرأة",NA,NA,NA,NA
"1401","3638","First:,Second:,Third:","فيس بوك","تليفزيون","راديو",NA,NA
"1402","3640","First:,Second:,Third:,Fourth:","المجلس القومي للمراه","منظمه الصحه العالميه","برنامج حكايات نهاد","برامج الاسره والطفل",NA
"1403","3652","First:","مجلس القومي للمراءه",NA,NA,NA,NA
"1404","3654","First:","انتي مش لوحدك",NA,NA,NA,NA
"1405","3657","First:,Second:","الجهات المختصة","حدث امامهم",NA,NA,NA
"1406","3658","First:,Second:,Third:","المركز القومى لحقوق المرأة","الجمعيات الاهليه","ووسائل التواصل الاجتماعى فيس بوك",NA,NA
"1407","3659","First:","فيديوهات نهاد القمصانى",NA,NA,NA,NA
"1408","3660","First:,I do not know any.","دعم المرأه",NA,NA,NA,NA
"1409","3667","First:,Second:","مجلس القومي حقوق المرأه","صفحات دعم المرأه",NA,NA,NA
"1410","3668","First:,Second:,Third:,Fourth:,Fifth:","اليوتيوب","التي في","الدش","جوجل","القنوات"
"1411","3669","First:","مكتب شكاوى المرأة فى المجلس القومي للمرأة",NA,NA,NA,NA
"1412","3672","First:,Second:,Third:","موقع دعم المرأة","بيت مسلم","فرتكهه",NA,NA
"1413","3673","First:,Second:","Society problems","جروبات البنات",NA,NA,NA
"1414","3680","First:,Second:","المجلس الأعلى لحقوق المرأة","دعم المرأة",NA,NA,NA
"1415","3683","First:,I do not know any.","المجلس القومي للمرأة",NA,NA,NA,NA
"1416","3685","First:,Second:","المجلس القومي للمرأه","دكتورة نهاد ابو القمصان",NA,NA,NA
"1417","3687","First:,Second:,Third:,Fourth:,Fifth:","الفيسبوك","الواتساب","الجهه المختصه","بعض النساء","السلطات"
"1418","3692","First:,Second:,Third:","فيسبوك","واتساب","تويتر",NA,NA
"1419","3693","First:,Second:,Third:","البيع اون لاين","التسويق الشبكي","ادمن الجروبات",NA,NA
"1420","3694","First:,Second:,Third:","دعم المرأة","انتى مش لوحدك","جروبات النسائيه",NA,NA
"1421","3695","First:","16000",NA,NA,NA,NA
"1422","3696","First:,Second:","المجلس القومي المراءة","المجلس المصري للمراءة",NA,NA,NA
"1423","3702","First:,Second:,Third:","دعم المراءه","جروبات نسائيه","برامج اعلاميه",NA,NA
"1424","3703","First:,Second:,Third:","دعم المراه","حقوق ال مراه","هيومن ريتس",NA,NA
"1425","3705","First:","المجلس القومى للمرأة",NA,NA,NA,NA
"1426","3707","First:,Second:,Third:,Fourth:,Fifth:","هي وبس","Woman support","هويدا الدمرداش","حقوق المرأة","."
"1427","3708","First:","اعتقد صفحات المجلس القومي للمرأة",NA,NA,NA,NA
"1428","3710","First:,Second:","دعم المرأة","جمعيات اهلية لدعم امرأة",NA,NA,NA
"1429","3712","First:","مركز حقوق المرأة",NA,NA,NA,NA
"1430","3713","First:,Second:,Third:","مجموعات الفيس بوك","الواتس","يوتيوب",NA,NA
"1431","3718","First:,Second:","جروب دعم المرأة","جروب تمسك متحرش علي الفيسبوك",NA,NA,NA
"1432","3719","First:,Second:,Third:","مكتب شكاوى المجلس القومي للمرأة","دعم المرأة","لا اعرف",NA,NA
"1433","3721","First:,I do not know any.","المجلس القومي للمرأة",NA,NA,NA,NA
"1434","3723","First:,Second:,Third:","المركز المصري لحقوق المرأة","المجلس القومي للمراه","المجلس القومي للأمومة والطفولة",NA,NA
"1435","3724","First:,Second:,Third:,Fourth:,Fifth:","مجلس حقوق المراة","دعم السيدات المعنفات","مواقع على الفيس","استشارات مع خبراء","اطباء علم نفس"
"1436","3726","First:","المجلس القومي للمراه",NA,NA,NA,NA
"1437","3728","First:,Second:,Third:,Fourth:,Fifth:","اليوتيوب","فيسبوك","تلفاز","الاصدقاء","الجيران"
"1438","3729","First:","برنامج دعم المراة",NA,NA,NA,NA
"1439","3732","First:,Second:","جوجل","التليفزيون",NA,NA,NA
"1440","3735","First:,Second:,Third:","الفيس بوك","وتساب","اليوتيوب",NA,NA
"1441","3741","First:,Second:,Third:","Facebook","Whatsapp","Google",NA,NA
"1442","3743","First:,Second:,Third:","جوجل","فيس بوك","برامج",NA,NA
"1443","3744","First:","المجلس القومى للمراة",NA,NA,NA,NA
"1444","3746","First:","انتي مش لوحدك",NA,NA,NA,NA
"1445","3753","First:,Second:,Third:,Fourth:,Fifth:","لا اعرف","لا اعرف","لا اعرف","لا اعرف","لا اعرف"
"1446","3754","First:,Second:,Third:","نهاد","الانترنت","الاستشارات الاسريه",NA,NA
"1447","3756","First:,Second:,Third:,Fourth:,Fifth:","النساء والعنف المنزلى","الانترنت","يوتيوب","برامج للعنف المنزلى","برامج تواجهه اعتداءات"
"1448","3758","First:,Second:,Third:,Fourth:","مستشارين عن الاسره","صفحة ناهد ابو القمصان","جروبات النسائية","مواقع التواصل الاجتماعى",NA
"1449","3759","First:,Second:","انتى مش لوحدك","لجنه حقوق المرأه",NA,NA,NA
"1450","3760","First:,Second:,Third:","مجلس المرأة","التضامن","حقوق المرأة",NA,NA
"1451","3763","First:,Second:","الهيئه الوطنيه لمقاومه العنف الأسرى","المجلس القومي للمرأة",NA,NA,NA
"1452","3764","First:,Second:","جمعيه دعم حقوق المرأه","دكتوره نهاد",NA,NA,NA
"1453","3765","First:,Second:,Third:,Fourth:","يوتيوب","الفيس بوك","البرامج التليفزيونية","المقابلات الصحفية",NA
"1454","3768","First:,Second:,Third:,Fourth:","فيديوهات الواتساب","فيديوهات الفيس بوك","اليوتيوب","مصادر البحث علي الانترنت",NA
"1455","3770","First:,Second:,Third:,Fourth:,Fifth:","صفحات عن المرأه","المركز المصرى لحقوق المرأه","صفحات عن دعم المرأه","الاتصال بالخط الساخن لحقوق المرأه","جهات مختصه للمشاكل المرأه"
"1456","3771","First:,I do not know any.","المجلس القومي للمراه",NA,NA,NA,NA
"1457","3773","First:,Second:","دعم المرأه","هي وبس",NA,NA,NA
"1458","3780","First:","مركز دعم المرأة",NA,NA,NA,NA
"1459","3783","First:,Second:","حكايات نهاد","التاسعه مساء",NA,NA,NA
"1460","3784","First:","برنامج حكايات نهاد",NA,NA,NA,NA
"1461","3785","First:,Second:,Third:,Fourth:,Fifth:","استمارات حقوق المرأه من خلالكم","مجلس القومى للمرأه","من خلال فيديوهات ترسلوه لى","جروبات ع الفيس تدعم المراه","فيديوهات ع اليوتيوب"
"1462","3787","First:,Second:,Third:,Fourth:,Fifth:","زمايل","مصادر التواصل الاجتماعي","أصدقاء الأصدقاء","برامج تلفيزيون","النادي"
"1463","3788","First:","دعم المراءة",NA,NA,NA,NA
"1464","3789","First:","القومى للمراة",NA,NA,NA,NA
"1465","3790","First:,I do not know any.","مني العراقي",NA,NA,NA,NA
"1466","3801","First:,Second:,Third:","دعم المرأة على الواتس","الفيسبوك","يوتيوب",NA,NA
"1467","3810","First:,Second:,Third:","فيس","واتس","تويتر",NA,NA
"1468","3814","First:,Second:,Third:,Fourth:,Fifth:","جوجل","فيس بوك","يوتيوب","تويتر","انستجرام"
"1469","3815","First:,Second:","المجلس القومي للمرأة","مركز صحة المرأة",NA,NA,NA
"1470","3819","First:,Second:,Third:","فيسبوك","تويتر","واتس اب",NA,NA
"1471","3823","First:","بوليس اسسلت",NA,NA,NA,NA
"1472","3825","First:,Second:","الصفحة الرسمية لحقوق المرأة","لا للتحرش",NA,NA,NA
"1473","3827","First:,Second:,Third:,Fourth:,Fifth:","برامج المرأه","برامج ضد العنف","اليوتيوب","قضايا أسريه","برامج محاكم الاسره"
"1474","3828","First:,Second:","برنامجكم","جمعيات دعم المرأه",NA,NA,NA
"1475","3829","First:,Second:,Third:,Fourth:,Fifth:","المركز القومى للمرأة","مركز رعاية الامومة والطفولة","برامج دعم المرأة","المركز القومى للمرأة","المركز القومى للمرأة"
"1476","3831","First:,Second:","المجلس الاعلي للمراة","جمعيات قضايا المراة",NA,NA,NA
"1477","3833","First:","المجلس القومي للمرأة",NA,NA,NA,NA
"1478","3837","First:,I do not know any.","المجلس القومي للمرأه",NA,NA,NA,NA
"1479","3838","First:,Second:,I do not know any.","جروبات بتدعم المرأه","حكايات نهاد",NA,NA,NA
"1480","3839","First:,Second:","المجلس القومى لحقوق الإنسان","المجلس القومى لحقوق المرأة",NA,NA,NA
