"","index","know_online","know_online1","know_online2","know_online3","know_online4","know_online5"
"826","2723","First:,Second:","جمعيات حقوق المرأة","هيئات المساعدة القانونية",NA,NA,NA
"827","2726","First:,Second:,Third:","اليوتيوب","جوجل","فيس بوك",NA,NA
"828","2730","First:,I do not know any.","برامج توك شو",NA,NA,NA,NA
"829","2732","First:,Second:,Third:","مشاهده برامج على اليوتيوب الانترنت تعليم على اليوتيوب","البحث على مواقع على الانترنت تعليم البحث عن الملكه","الدخول في جروبات على فيسبوك المسلسل ف التعليم ادخل على فيسبوك تحاليل المختبر انا تحاليل المختبر انا تحاليل المختبر ثاني 4",NA,NA
"830","2740","First:,Second:,Third:,Fourth:,Fifth:","فيسبوك","تويتر","يوتيوب","تليجرام","واتساب"
"831","2744","First:,I do not know any.",NA,NA,NA,NA,NA
"832","2746","First:","منظمة حقوق المرأة",NA,NA,NA,NA
"833","2748","First:,Second:","صفحات الفيس بوك الخاصة بالعلاقات الاسرية","صفحات ع الفيس بوك تتحدث ع الدعم النفسي للمرأة المتضررة",NA,NA,NA
"834","2749","First:,Second:,Third:,Fourth:,Fifth:","المواقع الإخبارية","صفحات الفيس بوك","صفحات بعض الأصدقاء","تويتر","فيديوهات"
"835","2753","First:","برامج مشورة",NA,NA,NA,NA
"836","2756","First:,Second:","مجلس الاسره","برامج الإرشاد النفسى",NA,NA,NA
"837","2760","First:,Second:","صفحه نسويه علي الفيسبوك","اخبار من المواقع المختلفه",NA,NA,NA
"838","2761","First:,Second:","صفحات على الفيس بوك","مواقع الدعم النفسى للمرأة المتضررة من العنف المنزلى",NA,NA,NA
"839","2767","First:,I do not know any.","القوى مصدر انها تعمله فضيحة على الفيس بوك ساعتها صوتها هيتسمع",NA,NA,NA,NA
"840","2769","First:","تجارب على الفيس بوك",NA,NA,NA,NA
"841","2780","First:,Second:","انتي متحرره","الاخبار",NA,NA,NA
"842","2791","First:,Second:","المجلس القومي للمرأة","المجلس المصري لحقوق المرأة",NA,NA,NA
"843","2793","First:","Facebook",NA,NA,NA,NA
"844","2797","First:,Second:,Third:,Fourth:,Fifth:","المجلس القومى للمرأة","الجمعيات الاهلية التى تعمل فى مشروعات للحد من العنف ضد المرأة","اللجنة الوطنية لحقوق الانسان","هيئة الامم المتحدة","الصحف الالكترونية"
"845","2798","First:,Second:","المركز القومى للمرأة","حقوق الانسان",NA,NA,NA
"846","2799","First:","الخط الساخن 16000",NA,NA,NA,NA
"847","2801","First:,Second:","فديوهات الدكتورة هالة سمير","فديوهات الدكتور احمد عمارة",NA,NA,NA
"848","2805","First:,Second:,Third:,Fourth:,Fifth:","فيس بوك","يوتيوب","جوجل","انستجرام","بس"
"849","2806","First:,Second:","facebook","مجلات وجرائد",NA,NA,NA
"850","2809","First:,Second:","حقوق المرأه","التضامن الاجتماعي",NA,NA,NA
"851","2810","First:,Second:,Third:","واتس اب","فيسبوك","جيجي",NA,NA
"852","2811","First:,Second:,Third:","فيسبوك","تويتر","تيكتوك",NA,NA
"853","2812","First:","جمعيات حقوق المرأة",NA,NA,NA,NA
"854","2816","First:","المجلس القومي للمرأة",NA,NA,NA,NA
"855","2827","First:,Second:,Third:","بيدجات علي الفيس بوك","التلفزيون","مقالات",NA,NA
"856","2828","First:","الانترنت",NA,NA,NA,NA
"857","2829","First:,Second:","برنامج هى وبس","بوستات الفيس بوك",NA,NA,NA
"858","2832","First:","المجلس القومى للمراه بالاسكندريه",NA,NA,NA,NA
"859","2833","First:","الفيس بوك",NA,NA,NA,NA
"860","2835","First:,Second:,Third:","اليونسكو","المركز القومي لحقوق المرأة والطفل","محكمة الاسرة",NA,NA
"861","2846","First:,Second:,Third:,Fourth:","حقوق المراة","ضد العنف مع المراة","المساواة بين الرجل والمراة",NA,NA
"862","2848","First:","فيسبوك",NA,NA,NA,NA
"863","2850","First:,Second:","جمعية حقوق المراة والطفل","اتحاد نساء العالم لمناصرة حقوق المرأء",NA,NA,NA
"864","2853","First:","You tüp",NA,NA,NA,NA
"865","2855","First:,Second:,Third:",NA,NA,NA,NA,NA
"866","2860","First:","فيسبوك",NA,NA,NA,NA
"867","2861","First:","جروبات فيس بوك",NA,NA,NA,NA
"868","2862","First:,Second:,Third:","الفيس بوك","التليفزيون","الجرائد",NA,NA
"869","2863","First:,Second:,Third:,Fourth:,Fifth:","لا اعرف","لا اعرف","لا اعرف","لا اعرف","لا اعرف"
"870","2871","First:,Second:,Third:,Fourth:,Fifth:","فيس بوك","حقوق الانسان","انستجرام","تويتر","جوجل"
"871","2876","First:","برامج التوعية ضد العنف بالمراة",NA,NA,NA,NA
"872","2888","First:,Second:,Third:,Fourth:,Fifth:","أشخاص اتأذت بالفعل","المحاكم","استشارات لذوي الخبره","فضفضه في جروبات عاديه",NA
"873","2891","First:,Second:,Third:,Fourth:","المجلس القومي للمرأة","مجلس الأمومة والطفولة","الجمعيات الأهلية","وزارة التضامن الاجتماعي",NA
"874","2892","First:,Second:,Third:,Fourth:,Fifth:","الانترنت","الجيران","اصحابى","اهلى","انا"
"875","2894","First:,Second:","الشرطة","المجلس القومي للمرأة",NA,NA,NA
"876","2896","First:,Second:,Third:,Fourth:,Fifth:","موقع حكايات","برنامج رضوي الشربيني","الستات ميعرفوش يكدبوا","حوادث على الانترنت","الاخبار جوجل"
"877","2907","First:","الجروبات الخاصه بالمرأه",NA,NA,NA,NA
"878","2909","First:,Second:,Third:,Fourth:,Fifth:","المركز المصري لحقوق المرأة","مؤسسة قضايا المرأة المصرية","جمعية نهوض وتنمية المرأة","مركز قضايا المرأة المصرية","احصائيات الجهاز المركزي للتعبئة والاحصاء عن العنف المنزلي للمرأة"
"879","2910","First:","نسوية",NA,NA,NA,NA
"880","2914","First:","منظمة حقوق الانسان",NA,NA,NA,NA
"881","2915","First:","جروبات النساء علي الفيس بوك",NA,NA,NA,NA
"882","2916","First:,Second:,Third:,Fourth:","جميعه حقوق المرأة","لا للعنف","جميعه المساواة","مناهضه المرأة المصريه",NA
"883","2918","First:,Second:","موقع المركز القومى لحقوق المرأة","موقع الأمم المتحدة",NA,NA,NA
"884","2922","First:,Second:,Third:,Fourth:,Fifth:","اليوتيوب","فيس بوك","برامج التوعيه","لا اعرف","قراءة الكتب التي تتحدث عن العنف ضد المرأة"
"885","2923","First:,Second:","Facebook","Tv",NA,NA,NA
"886","2929","First:","الفيس بوك",NA,NA,NA,NA
"887","2936","First:,Second:,Third:","اليوم السابع","صفخة مشاكل زوجيه","قصص بعض الاصدقاء",NA,NA
"888","2944","First:","المجلس القومي للمراه",NA,NA,NA,NA
"889","2947","First:,Second:,Third:","المجلس القومى للمراه","جمعيات لحقوق المرأة","حزب التجمع",NA,NA
"890","2949","First:,Second:,Third:,Fourth:","Socity problems","انتي مش لوحدك","امهات مصر المعيلات","قانون الاسرة المصرية",NA
"891","2962","First:,Second:,Third:,Fourth:,Fifth:","الفيس بوك","التويتر","الانستجرام","الواتس اب","التليجراف"
"892","2973","Fifth:,I do not know any.",NA,NA,NA,NA,NA
"893","2977","First:","الفيس بوك",NA,NA,NA,NA
"894","2978","First:,Second:","فيس بوك","يوتيوب",NA,NA,NA
"895","2979","First:","محاكم الاسره  جهه عملي",NA,NA,NA,NA
"896","2983","First:,Second:","قصص ع اليوتيوب","قصص علي الفيس يوك",NA,NA,NA
"897","2984","First:,Second:,Third:,Fourth:","المجلس القومي للمرأة","لجنة حقوق الإنسان","محكمة الاسرة وان لم تكن على الانترنت","بعض الجمعيات الأهلية",NA
"898","2990","First:,Second:","نهاد أبو القمصان","مؤسسة هويدا الدمرداش",NA,NA,NA
"899","2991","First:,Second:,Third:,Fourth:,Fifth:","المجلس القومي للمرأة","المركز القومى لصحة للمرأه والتعليم","صندوق الأمم المتحدة","منظمة المرأة العربية","."
"900","2994","First:,Second:,Third:,I do not know any.","منظمه العفو الدوليه","منظمه الصحه العالميه","منظمه حقوق المرأة",NA,NA
"901","2995","First:,Second:","الجمعية النسائية","جمعية حقوق المرأة المصرية",NA,NA,NA
"902","2998","First:,Second:,Third:,Fourth:,Fifth:","مجلة جميله","صفحه كلام ستات","نون النسوة","صفحات متنوعه ع فيسبوك","اليوتيوب"
"903","3004","First:","حكايات نهاد",NA,NA,NA,NA
"904","3019","First:,Second:,Third:,Fourth:,Fifth:","مركز برلين على جوجل","مركز مارى النسائي","مركز كوبرا","جمعية نساء المستقبل","مركز الإصغاء ملجأ النساء ضحايا العنف"
"905","3023","First:,Second:","مركز قضايا المراه المصريه","جمعيه وعي",NA,NA,NA
"906","3027","First:,Second:","فيس بوك","جرائد",NA,NA,NA
"907","3031","First:,Second:","فيس بوك","واتس",NA,NA,NA
"908","3033","First:,Second:","حقوق الإنسان","رابطة نساء فيس بوك",NA,NA,NA
"909","3034","First:","المجلس القومي للمرأة",NA,NA,NA,NA
"910","3035","First:,I do not know any.",NA,NA,NA,NA,NA
"911","3037","First:,Second:,Third:,Fourth:,Fifth:","فيس بوك","توتر","انستجرام","كتب","الاهل"
"912","3038","First:","المحاكم",NA,NA,NA,NA
"913","3040","First:,Second:,Third:,I do not know any.","جريده اليوم. السابع","دليل MSD","موقع منظمه الصحه العالميه",NA,NA
"914","3042","First:,Second:","اجمدي","ثوره المرأه",NA,NA,NA
"915","3043","First:,Second:","فيس بوك","العلاقات المحيطه",NA,NA,NA
"916","3045","First:","منظمه العفو الدوليه",NA,NA,NA,NA
"917","3050","First:","الفيس بوك",NA,NA,NA,NA
"918","3053","First:,Second:","الاستشارات الاسرية",NA,NA,NA,NA
"919","3054","First:","المجلس القومي للمرأة",NA,NA,NA,NA
"920","3055","First:,Second:,Third:",NA,NA,NA,NA,NA
"921","3056","First:,Second:,Third:,Fourth:,Fifth:","مراكز حقوق المراءه","برامج التلفزيون","جروبات علي الفيس","جروبات علي الواتس","المجلس الأعلي للمرأة"
"922","3057","First:","Facebook",NA,NA,NA,NA
"923","3061","First:","المركز القومي لحقوق المرأة",NA,NA,NA,NA
"924","3062","First:","قنوات",NA,NA,NA,NA
"925","3072","First:,Second:,Third:,Fourth:,Fifth:","Un Women","Care Egypt","مركز قضايا وحقوق المرأة","كاريتاس مصر","Unicef Egypt"
"926","3073","First:,Second:,Third:","جروبات الدعم النفسي","جروبات خاصة باللسيدات","المجلس القومي للمرأه والطفل",NA,NA
"927","3077","First:,Second:,Third:,Fourth:,Fifth:","جوجل","يوتيوب","الفيس بوك","كروم","انستجرام"
"928","3081","First:,Second:","فيديوهات علي اليوتيوب","اخبار",NA,NA,NA
"929","3084","First:,Second:,Third:,Fourth:","المجلس القومي للمرأة","UN Women","المجلس القومي للطفولة والأمومة","قسم الإرشاد النفسي بالمعهد العالي للدراسات التربوية",NA
"930","3087","First:,Second:,Third:","Facebook","You tube","من القصص والاخبار",NA,NA
"931","3102","First:","الفيس بوك",NA,NA,NA,NA
"932","3107","First:,Second:,Third:,Fourth:,Fifth:","محكمة الاسره","منظمة حقوق المراه","برامج التوعيه للنساء","الندوات","برنامح انتي مش لوحد"
"933","3109","First:,Second:,Third:,Fourth:,Fifth:","فيس","واتس","يتيوب","ماسنجر","تليجرام"
"934","3114","First:,Third:,Fourth:","موقع اليوم السابع",NA,NA,NA,NA
"935","3115","First:,Second:,Third:,Fourth:","جماعية الاسره","موقع التواصل الاجتماعي","محامي","المرأة العامله جمعيه",NA
"936","3118","First:,Second:,Third:,Fourth:,Fifth:","الفيس","تويتر","الوتساب","انستغرام","حقوق المرأه"
"937","3119","First:,Second:","جمعيات","مؤسسة",NA,NA,NA
"938","3124","First:","المجلس القومى للمرأة",NA,NA,NA,NA
"939","3126","First:,Second:","برامج تليفزيونية","الفيس بوك",NA,NA,NA
"940","3127","First:","موده",NA,NA,NA,NA
"941","3129","First:","فيس بوك",NA,NA,NA,NA
"942","3131","First:,Second:,Third:","الفيس","توتير","جوجل",NA,NA
"943","3135","First:","حقوق المراة",NA,NA,NA,NA
"944","3136","First:","جمعية حقوق المرأة",NA,NA,NA,NA
"945","3146","First:","Googal",NA,NA,NA,NA
"946","3150","First:","موقع حقوق المراه عالفيس بوك",NA,NA,NA,NA
"947","3151","First:","البحث علي جوجل",NA,NA,NA,NA
"948","3152","First:,Second:","حقوق المرأة","جمعية الدفاع عن المراة",NA,NA,NA
"949","3156","First:,Second:","منظمات حقوق المرأة","منظمة حقوق الإنسان",NA,NA,NA
"950","3157","First:","المجلس القومي للمرأة",NA,NA,NA,NA
"951","3158","First:,Second:,Third:","تيك توك","يوتيوب","فيس",NA,NA
"952","3161","First:,Second:","نصائح نهاد ابو القمصان باتابعها بشدة","مبادرة تقدرى",NA,NA,NA
"953","3169","First:,I do not know any.","لااعرف",NA,NA,NA,NA
"954","3170","First:,Second:,Third:,Fourth:,Fifth:","الانترنت","المجموعات الخاصة بالسيدات","الدكتور النفسي","اخصائيين في حل المشاكل","المعارف و الأقارب"
"955","3171","First:,Second:","Facebook","صفحات حقوق المراة",NA,NA,NA
"956","3174","First:","المجلس القومي للمرأة",NA,NA,NA,NA
"957","3178","First:,Second:,Third:,Fourth:,Fifth:","فيديوهات اليوتيوب","اخبار الحوادث علي المواقع الإخبارية","حكاوي الجروبات علي الفيس","الشير علي الفيس","فيديوهات الفيس"
"958","3179","First:,Second:,Third:","جروبات نسائية","الفيس بوك","يوت يوب",NA,NA
"959","3188","First:,Second:,Third:,Fourth:,Fifth:","جوجل","انستجرام","الفيس بوك","الواتس","اليوتيوب"
"960","3196","First:","الصفحة الرسمية للمجلس القومى للمراة",NA,NA,NA,NA
"961","3199","First:,Second:","موقع المجلس القومى للمرأة","موقع المركز المصري لحقوق المرأة",NA,NA,NA
"962","3204","First:,I do not know any.",NA,NA,NA,NA,NA
"963","3205","First:","معظم الصفحات النسوية",NA,NA,NA,NA
"964","3206","First:,I do not know any.","طبيبي النفسي",NA,NA,NA,NA
"965","3210","First:","جروبات الفضفضه على الفيس بوك",NA,NA,NA,NA
"966","3213","First:,Second:,Third:","المنتديات","مواقع استشارات زوجية","الفيس بوك",NA,NA
"967","3214","First:,I do not know any.","جروبات البنات",NA,NA,NA,NA
"968","3217","First:,Second:,Third:,Fourth:,Fifth:","جمعيه المرأه الجديده","حقوق المرأه فى الإسلام","برنامج حكايات نهاد","المركز المصري لحقوق المرأه","البحث على جوجل"
"969","3223","First:","منظمة حقوق المرأة",NA,NA,NA,NA
"970","3224","First:,Second:,I do not know any.","حقوق المراءه",NA,NA,NA,NA
"971","3226","First:,Second:,Third:","المجلس القومي للمرأة","المركز المصري لحقوق المرأة","مؤسسة قضايا المرأة المصريه",NA,NA
"972","3227","First:,Second:,Third:,Fourth:,Fifth:","صفحات","لينكات","رسائل","جروبات","منشن"
"973","3229","First:,Second:,Third:","اليونسيف","برامج العنف ضد المراه","الندوات تتحدث عن حقوق المراه",NA,NA
"974","3230","First:","فيس بوك",NA,NA,NA,NA
"975","3236","First:,Second:,Third:","برنامج هى وبس","الدكتوره هاله سمير","الدكتوره هبه قطب",NA,NA
"976","3239","Second:,I do not know any.",NA,NA,NA,NA,NA
"977","3241","First:,Second:,Third:","الفيس بوك","جوجل","اليوتيوب",NA,NA
"978","3246","First:,Second:","الفيسبوك","جوجل",NA,NA,NA
"979","3250","First:","Facebook",NA,NA,NA,NA
"980","3252","First:,Second:,I do not know any.","منظمة حقوق المراه","الشرطه",NA,NA,NA
"981","3253","First:,Second:,Third:,Fourth:,Fifth:","جوجل","يوتيوب","مجموعات فيس بوك","تويتر","واتس اب"
"982","3257","First:","صفحة احكي",NA,NA,NA,NA
"983","3262","First:,Second:","الفيس بوك","الواتس اب",NA,NA,NA
"984","3265","First:","جروبات نسائيه",NA,NA,NA,NA
"985","3274","First:","المجلس القومي للمرآة",NA,NA,NA,NA
"986","3278","First:","مواقع المختصه بشؤؤن المرأة",NA,NA,NA,NA
"987","3284","First:,Second:,Third:","فيس بوك","بعض المعارف والصديقات","البرامج الاخباريه",NA,NA
"988","3292","First:,Second:,Third:","Googel","Youtub","المركز القومى لحقوق المرأة",NA,NA
"989","3297","First:,I do not know any.","هن",NA,NA,NA,NA
"990","3311","First:,Second:,Third:,Fourth:,Fifth:","المنزل","الجيران","العائله","الفيس","اصدقائي"
"991","3313","First:,Second:,Third:","السوشيال ميديا","الاخبار","البرامج الاجتماعية",NA,NA
"992","3316","First:,Second:,Third:,I do not know any.","الانثي","المراه","الحياة",NA,NA
"993","3317","First:,Second:,I do not know any.","يوتيوب","فيس بوك",NA,NA,NA
"994","3327","First:,Second:","جروبات توعيه","صفحات توعيه",NA,NA,NA
"995","3331","First:","صفحات الفيس بوك للمشاكل الاسريه",NA,NA,NA,NA
"996","3333","First:,Second:,Third:","جروبات الفيس بوك للدعم النفسي","الأرقام الساخنة للمركز القومي للمرأة","رقم الشرطة",NA,NA
"997","3334","First:","الفيس بوك",NA,NA,NA,NA
"998","3335","First:","الفيس",NA,NA,NA,NA
"999","3340","First:,Second:,Third:,Fourth:","Facebook","Google","الاخبار","اعلانات",NA
"1000","3343","First:","منظمات حقوقية",NA,NA,NA,NA
"1001","3346","First:,Second:","برنامج حكايات نهاد","المجلس القومي للمرأة",NA,NA,NA
"1002","3348","First:,Second:,Third:,Fourth:","المجلس القومي لحقوق المرأة","المركز المصري لحقوق المرأة","منظمة اللمم المتحدة للامومة والطفولة","محكمة الاسرة في حال اللجوء للقضاء",NA
"1003","3352","First:","حقوق الانسان",NA,NA,NA,NA
"1004","3355","First:,Second:","اسئله لرجال الدين من خلال البرامج المختلفه","فيديوهات من اليوتيوب",NA,NA,NA
"1005","3356","First:","هيئه الامم المتحده للمرأه",NA,NA,NA,NA
"1006","3357","First:,Second:,Third:,Fourth:,Fifth:","فيسبوك","ماسنجر","واتساب","تيليجرام","لا يوجد"
"1007","3358","First:,Second:","الشرطة","القومى للمرأة",NA,NA,NA
"1008","3359","First:","الفيسبوك",NA,NA,NA,NA
"1009","3361","First:","لا اعرف",NA,NA,NA,NA
"1010","3363","First:,Second:,Third:,Fourth:","برامج المراه","الفبس بوك","الاهل","الواتسال",NA
"1011","3364","First:","جروبات نسائية",NA,NA,NA,NA
"1012","3365","First:,Second:,Third:,Fourth:,Fifth:","الزوج","الاخ","الاب","الام","باقى الاخوة"
"1013","3367","First:","جمعية حقوق المرأة",NA,NA,NA,NA
"1014","3372","First:,Second:,Third:,Fourth:","صفحات","جروب النساء","اقارب",NA,NA
"1015","3378","First:,Second:,Third:,Fourth:,Fifth:","بعض المواقع الالكترونيه","كتاب اسمه الطلاق","فيديوهات اليوتيوب","كلام السوشيال ميديا","المناهج الدراسيه"
"1016","3379","First:","المجلس القومى لحقوق المرأه",NA,NA,NA,NA
"1017","3383","First:,Second:","المجلس القومي للمرأة","مكتب الشكاوي بالمجلس",NA,NA,NA
"1018","3384","First:","المجلس القومي للمرأة",NA,NA,NA,NA
"1019","3386","First:","بعض صفحات الفيس بوك",NA,NA,NA,NA
"1020","3387","First:,Second:,Third:,Fourth:,Fifth:","الاقارب","الاصدقاء","العمل","الانترنت","التلفزيون"
"1021","3388","First:,Second:,Third:","امهات وعوامل ذي القمر","مشاكل ستات","كلام ستات",NA,NA
"1022","3389","First:,Second:,Third:","كتب بتناقش موضوع العنف المنزلى","فيديو على YouTube","المجلس القومى للمرأة",NA,NA
"1023","3392","First:,Second:,Third:,Fourth:","فيس بوك","واتس اب","ماسنجر","بوتيوب",NA
"1024","3394","First:,I do not know any.","Facebook",NA,NA,NA,NA
"1025","3398","First:,Second:,Third:","فيس بوك","واتس اب","اليوتيوب",NA,NA
"1026","3399","First:","الفيسبوك",NA,NA,NA,NA
"1027","3403","First:,Second:","منظمه الصحه العالميه","التضامن الاجتماعي",NA,NA,NA
"1028","3404","First:,Second:,Third:,Fourth:,Fifth:","مصدر دينى مثل القنوات الدينيه الندى","برنامج دكتوره نهاد ابو القمصان","جروب الفيس بوك","جوجل ومشاكل مشابهه","تويتر"
"1029","3408","First:,Second:","Egyptian single mother Facebook group","المجلس القومى للمرأة",NA,NA,NA
"1030","3409","First:,Second:,Third:,Fourth:,Fifth:","محكمه الاسره","المجلس القومى للمرأه","مؤسسة بسمه للايواء","مؤسسه معا لانقاذ انسان","جمعيات خيريه"
"1031","3412","First:","صفحات المجتمع",NA,NA,NA,NA
"1032","3413","First:","دكتوره نهاد",NA,NA,NA,NA
"1033","3414","First:,I do not know any.","جمعيه حقوق المرأة",NA,NA,NA,NA
"1034","3417","First:,Second:,Third:,Fourth:,Fifth:","فيس بوك","واتس اب","تويتر","يوتيوب","تيلجرام"
"1035","3418","First:,Second:,Third:,Fourth:,Fifth:","البيت","السيبر","الشارع","لجيران",NA
"1036","3419","First:,I do not know any.","Face book",NA,NA,NA,NA
"1037","3422","First:","فيس بوك",NA,NA,NA,NA
"1038","3425","First:,I do not know any.","المجلس القومي للمراة",NA,NA,NA,NA
"1039","3427","First:,Second:,Third:,Fourth:,Fifth:","الجروبات","الاصدقاء","القضايا","العائله","الجيران"
"1040","3440","First:,Second:,Third:","مواقع خاصة بالمشاكل الاسرية","دكاترة متخصصة في هذا المجال","محامين",NA,NA
"1041","3441","First:,Second:,Third:,Fourth:,Fifth:","فبس بوك","واتساب","تويتر","يوتيوب","انستجرام"
"1042","3445","First:,Second:,Third:","برنامج دكتوره نهاد ابو القمصان","صفحه دكتوره هويدا الدمرداش","برنامج دكتوره هاله سمير",NA,NA
"1043","3446","First:,Second:,Third:","المجلس القومي للمراه","مكتب شكاوي المراه","مناهضه العنف ضدد المراه",NA,NA
"1044","3447","First:","رضوى الشربينى",NA,NA,NA,NA
"1045","3449","First:,Second:,Third:","الفيس بوك","المحاكم","الأهل",NA,NA
"1046","3451","First:","Youtu.be",NA,NA,NA,NA
"1047","3462","First:,Second:,Third:,Fourth:,Fifth:","المجلس القومى للمراة","مكاتب التوجيه والاستشارات الاسرية","إدارة شئون ألمراة بمديرية التضامن","الأندية النسائية","مكتب حماية ألمراةضد العنف بأقسام الشرطة"
"1048","3468","First:","لا اعرف",NA,NA,NA,NA
"1049","3470","First:","فيس بوك",NA,NA,NA,NA
"1050","3476","First:","الفيس جروبات الماميز",NA,NA,NA,NA
"1051","3480","First:","Facebook",NA,NA,NA,NA
"1052","3487","First:,Second:,Third:,Fourth:,Fifth:","الاخبار","الفيس بوك","الجروبات النسائية","اليوتيوب","التليفزيون"
"1053","3488","First:","المجلس القومي للمرأه",NA,NA,NA,NA
"1054","3490","Second:,I do not know any.",NA,"اصدقائي",NA,NA,NA
"1055","3492","First:,Second:,Third:,Fourth:,Fifth:","هي وبس","حكايات نهاد","مشكلات اجتماعية","رياض الصالحين","ويب جيرلز"
"1056","3493","First:,Second:,I do not know any.","جمعية حقوق المرآه",NA,NA,NA,NA
"1057","3498","First:,Second:,Third:,Fourth:,Fifth:","جروبات ع الفيس بوك","قنوات يوتيوب","مصادر بحث جوجل","جروبات وتس اب","دردشات ماسنجر"
"1058","3505","First:,Second:,Third:,Fourth:,Fifth:","حقوق المراة","جروبات ع فيس بوك","الاعلاميين","وبيدجات فيس","الشير"
"1059","3509","First:","جروبات فيس بوك",NA,NA,NA,NA
"1060","3519","First:,Second:","برامج التلفزيون للتوعية ضد العنف",NA,NA,NA,NA
"1061","3521","First:,Second:","المجلس القومي للمرأه","مركز الدعم النفسي بجامعة عين شمس",NA,NA,NA
"1062","3522","First:,Second:,Third:","المجلس القومي للمرأة","المجلس القومي للطفولة والأمومة","الصفحة الرسمية لوزارة الداخلية المصرية",NA,NA
"1063","3528","First:","جروبات علي الفيس بوك",NA,NA,NA,NA
"1064","3531","First:","المجلس القومي للمرأه",NA,NA,NA,NA
"1065","3534","First:,Second:","الفيس بوك","واتساب",NA,NA,NA
"1066","3535","First:,Second:","جمعية حقوق المرأه","البرامج الدينيه مثل برنامج قلوب عامره",NA,NA,NA
"1067","3536","First:","الفيس بوك",NA,NA,NA,NA
"1068","3538","First:,Second:,Third:,Fourth:,I do not know any.","ال time line","صفحه هى وبس","الشيخ مبروك عطيه","قضيه الاغتصاب المنتشره مؤخرا",NA
"1069","3539","First:","جعفر توك",NA,NA,NA,NA
"1070","3541","First:,Second:,Third:","المجلس القومي للمرأة","المجلس القومي للامومة والطفولة","مكتب شكاوي مجلس الوزراء",NA,NA
"1071","3542","First:","يوتيوب",NA,NA,NA,NA
"1072","3544","First:,Second:,Third:,Fourth:,Fifth:","جروبات على الفيس بوك خاصة بالنساء","جهات مختصه بالنساء","الواتساء","دكاتره متخصيصين","البحث على الانترنت"
"1073","3547","First:","المجلس القومي للمرأة",NA,NA,NA,NA
"1074","3550","First:,Second:,Third:,Fourth:,Fifth:","نساء مصر","المجلس القمومى للمرأة","لا اعرف","لا اعرف","لا اعرف"
"1075","3551","First:,Second:","جمعية المرأة و الطفل","جروبات الفيس بوك",NA,NA,NA
"1076","3559","First:,Second:,Third:,Fourth:,Fifth:","فيس بوك","تويتر","واتس اب","مواقع اخباريه","التليفزيون"
"1077","3562","First:,Second:","مشاكل اجتماعيه","مشاكل اسريه",NA,NA,NA
"1078","3566","First:,Second:,Third:,Fourth:,Fifth:","علماء التفس","وبكيبديا","حقوق المراه","كتب","رضوي الشربيني"
"1079","3570","First:,Second:,Third:,Fourth:,Fifth:","لا اعرف","لا","لا","لا","لا"
"1080","3571","First:,Second:,Third:","جيران","اصدقاء","اهل",NA,NA
"1081","3572","First:","لجنة فض المنازعات التابعه للازهر الشريف",NA,NA,NA,NA
"1082","3573","First:,Second:","المجلس القومي للمرأة","المجلي القومي للأمومة والطفولة",NA,NA,NA
"1083","3574","First:,Second:,Third:,Fourth:,Fifth:","المجلس القومى للمراة","الجمعيات الاهلية المعنيه بالعنف المنزلى","مراكز المشورة والدعم النفسي","المراكز الحقوقية",NA
"1084","3577","First:,Second:,Third:,Fourth:","جروب فيس بوك","عملي السابق","أصدقاء","أقارب",NA
"1085","3578","First:,Second:,Third:,Fourth:","جروب أنا وسلايفى وحماتى","صفحة رضوى الشربينى","صفحات شخصية","بعض المدونات",NA
"1086","3581","First:,Second:,Third:,Fourth:","أصدقاء","جروب","حاله عن تجربه","اختى",NA
"1087","3585","First:,Second:","Facebook","YouTube",NA,NA,NA
"1088","3586","First:,I do not know any.",NA,NA,NA,NA,NA
"1089","3589","First:,Second:,Third:,Fourth:,Fifth:","جوجل","يوتيوب","فيس بوك","انستجرام","تويتر"
"1090","3596","First:,Second:,Third:,Fourth:,Fifth:","الفيس","الوتس","البرامج التلفزيونيه","مسنجر","المسلسلات"
"1091","3598","First:,Second:,Third:,Fourth:,Fifth:","جمعية حماية حقوق المراة","المجلس القومى للمراة","جمعيات حقوق الانسان","المجلس الأعلى للأمومة والطفولة","فيسبوك"
"1092","3605","First:,Second:","صفحات الفيس بوك","المجلس القومي للمراه",NA,NA,NA
"1093","3608","First:,Second:,Third:","حقوق المرأة","لا للعنف ضد المراه","حقوق الانسان",NA,NA
"1094","3611","First:,Second:,Third:,Fourth:,Fifth:","لا اعرف","لا اعرف","لا اعرف","لا اعرف","لا اعرف"
"1095","3617","First:,Second:","اليوتيوب","الفيس بوك",NA,NA,NA
"1096","3620","First:,Second:","الانترنت","بعض الأصدقاء",NA,NA,NA
"1097","3622","First:","المجلس القومي للمراءه",NA,NA,NA,NA
"1098","3630","First:","موقع حكايات نهاد",NA,NA,NA,NA
"1099","3631","First:","المجلس القومي للمرأة",NA,NA,NA,NA
"1100","3635","First:,I do not know any.","التواصل الاجتماعى",NA,NA,NA,NA
"1101","3645","First:","Facebook",NA,NA,NA,NA
"1102","3648","First:,Second:,Third:,Fourth:,Fifth:","اليوتيوب","الفيسبوك","تويتر","الواتس اب","جوجل"
"1103","3651","First:,Second:","منشورات شخصية على موقع فيس بوك","موقع يوتيوب",NA,NA,NA
