"","index","know_org","know_org1","know_org2","know_org3","know_org4","know_org5"
"915","3348","First:,Second:","المجلس القومي لحقوق المرأة","المركز الفومي لحقوق المرأة",NA,NA,NA
"916","3351","First:,Second:,Third:","البرامج التليفزيونية","دار الإفتاء","حقوق الإنسان",NA,NA
"917","3352","First:","حقوق الإنسان",NA,NA,NA,NA
"918","3355","First:","مراكز دعم المرأة",NA,NA,NA,NA
"919","3356","First:,Second:","هيئه الامم المتحده للمراه","المجلس القومي للامومه والطفوله في مصر",NA,NA,NA
"920","3358","First:","القومى للمرأة",NA,NA,NA,NA
"921","3359","First:","الفيسبوك",NA,NA,NA,NA
"922","3361","First:","لا اعرف",NA,NA,NA,NA
"923","3363","First:,Second:","برامج المراه","الجروبات النفسيه",NA,NA,NA
"924","3364","First:,Second:","دار الافتاء","الأزهر الشريف",NA,NA,NA
"925","3365","First:","مؤسسات على الانتر نت",NA,NA,NA,NA
"926","3369","First:","حقوق المرأة",NA,NA,NA,NA
"927","3371","First:,Second:,Third:","حقوق المراءة المصرية","جمعية المراءة المصرية",NA,NA,NA
"928","3372","First:","جمعية حقوق المرأة",NA,NA,NA,NA
"929","3373","First:,Second:","نون","احكي",NA,NA,NA
"930","3374","First:","المركز القومى للمرأة فبنها",NA,NA,NA,NA
"931","3376","First:","صراحه الأهل لإني اهلي بيساعدوا الكل و أختي اتعرضت لعنف و اهلي ساعدوها علي طول",NA,NA,NA,NA
"932","3378","First:,Second:,Third:,Fourth:,Fifth:","حقوق المرأة والطفل","الناشطين","الحكومه","المنظمات الشبابيه","مراكز الشرطه"
"933","3379","First:","المجلس القومى لحقوق المراة",NA,NA,NA,NA
"934","3384","First:","المجلس القومي للمرأة",NA,NA,NA,NA
"935","3386","First:,Second:,Third:","البرامج الداعمه للمرأة عالتليفزيون","بعض صفحات الانترنت","اسمع ان الان يوجد كوتش للتدريب على التعامل في الحياه الزوجيه",NA,NA
"936","3387","First:,Second:,Third:,Fourth:,Fifth:","الخط الساخن لوزارة الداخلية لمساعدة متضررات العنف","مؤسسات حقوقية","مؤسسات لدعم المرأة","جمعيات خيرية","حركات مثل لا للتحرش"
"937","3389","First:,Second:","سحر النادى","المجلس القومى للمرأة",NA,NA,NA
"938","3399","First:","المركز القومي للمرأة",NA,NA,NA,NA
"939","3401","First:","الملس القومى للمراة",NA,NA,NA,NA
"940","3404","First:,I do not know any.","محكمه الاسره",NA,NA,NA,NA
"941","3408","First:,Second:","Egyptian single mother","YouTube channels",NA,NA,NA
"942","3412","First:","الجمعيات الاهليه",NA,NA,NA,NA
"943","3417","First:,Second:,Third:","الاسره والطفوله","محكمه الاسره","جمعيات حقوق المراه",NA,NA
"944","3418","First:,Second:,Third:,Fourth:","االيت","المجتمع","المظمات",NA,NA
"945","3422","First:","محكمة الاسره",NA,NA,NA,NA
"946","3427","First:,Second:,Third:,Fourth:,Fifth:","محكمة الاسرة","اهل الزوج","دار الافتاء","الاطباء النفسيين","الامهات"
"947","3441","First:,Second:","مركز نظرة","النديم",NA,NA,NA
"948","3444","First:","جمعية حقوق المرأة",NA,NA,NA,NA
"949","3446","First:,Second:","المجلس القومي للمراه","مكتب شكاوي المراه",NA,NA,NA
"950","3449","First:,Second:,Third:,Fourth:","الفيسبوك","الأهل","للجمعيات الأهلية",NA,NA
"951","3451","First:","منظمات حقوق المراه",NA,NA,NA,NA
"952","3459","First:","جمعيات حقوق المرأة",NA,NA,NA,NA
"953","3462","First:,Second:,Third:,Fourth:,Fifth:","مكاتب حماية المرأة ضد العنف بأقسام الشرطة","المجلس القومى للمراة","الأندية النسائية","مكاتب التوجيه والاستشارات الاسرية","إدارات شئون ألمراة بمديريات التضامن"
"954","3468","First:","لا اعرف",NA,NA,NA,NA
"955","3470","First:","المجلس القومي للمراة",NA,NA,NA,NA
"956","3477","First:,I do not know any.","لا اعرف",NA,NA,NA,NA
"957","3479","First:,Second:","المجلس القومى للمرأة","بعض الجمعيات الاهلية",NA,NA,NA
"958","3487","First:,I do not know any.","منظمة حقوق المرأة والطفل",NA,NA,NA,NA
"959","3492","First:,Second:,Third:,Fourth:","حقوق المرأة","محكمة الأسرة","كفالة وكرامة","أقسام الشرطة",NA
"960","3494","First:","المجلس القومي لحقوق المرأة",NA,NA,NA,NA
"961","3508","First:,Second:","المجلس القومى للمراه","جمعيات اهليه مختصه بشئون المراه",NA,NA,NA
"962","3509","First:","مش عارفه",NA,NA,NA,NA
"963","3512","First:","المركز القومي للمراة",NA,NA,NA,NA
"964","3517","First:","المجلس القومي لحقوق المراة",NA,NA,NA,NA
"965","3521","First:","المجلس القومي للمرأه",NA,NA,NA,NA
"966","3522","First:","المجلس القومي للمرأة",NA,NA,NA,NA
"967","3528","First:","جروبات علي الفيس بوك",NA,NA,NA,NA
"968","3530","First:","ممكن منصة مودة بس دي للمشاكل الزوجيه عموما",NA,NA,NA,NA
"969","3531","First:","المجلس القومي للمرأه",NA,NA,NA,NA
"970","3534","First:,Second:","الفيس بوك","واتساب",NA,NA,NA
"971","3535","First:","جمعية حقوق المرأه",NA,NA,NA,NA
"972","3536","First:","لا أعلم",NA,NA,NA,NA
"973","3538","First:,I do not know any.","موده",NA,NA,NA,NA
"974","3539","First:","جعفر توك",NA,NA,NA,NA
"975","3541","First:,Second:,Third:","المجلس القومي للمرأة","المجلس القومي للامومة والطفولة","مركز قضايا المرأة",NA,NA
"976","3542","First:","المركز القومي للمرأة",NA,NA,NA,NA
"977","3545","First:","حقوق المرأة",NA,NA,NA,NA
"978","3547","First:","المركز القومي للمرأة",NA,NA,NA,NA
"979","3562","First:","حقوق المرأه",NA,NA,NA,NA
"980","3563","First:,Second:","د هويدا الدمرداش","د هاله سمير",NA,NA,NA
"981","3564","First:","حقوق المرأه",NA,NA,NA,NA
"982","3566","First:,Second:,Third:,Fourth:,Fifth:","رضوي الشربيني","الانترنت","مواقع المراه","حقوق المراه","الاصدقاء"
"983","3569","First:,Second:","المجلس القومي للمراه","المجلس القومي للطفوله والامومه",NA,NA,NA
"984","3570","First:,Second:,Third:,Fourth:,Fifth:","لا اعرف","لا","لا","لا","لا"
"985","3571","First:","لااعلم",NA,NA,NA,NA
"986","3573","First:","المجلس القومي للمرأة",NA,NA,NA,NA
"987","3574","First:,Second:,Third:","المجلس القومى للمراة","مراكز حقوقية","مراكز المشورة والدعم النفسي",NA,NA
"988","3575","First:,Second:","المجلس القومى للمرأه","وزارة التضامن الإجتماعى",NA,NA,NA
"989","3578","First:,I do not know any.","محكمة الأسرة",NA,NA,NA,NA
"990","3581","First:,Second:","البرنامج","والنت",NA,NA,NA
"991","3594","First:","المجلس القومي للمرأة",NA,NA,NA,NA
"992","3595","First:","المجلس القومى للمرأة",NA,NA,NA,NA
"993","3598","First:,Second:","المجلس القومى للمراة","جمعيات حقوق الانسان",NA,NA,NA
"994","3601","First:,Second:,Third:,Fourth:","اليونيسيف","مؤسسات المجتمع المدني","اختصاصي الدعم النفسي و الاجتماعي و الأخصائيين النفسيين","مستشفيات الصحة النفسية.. تحصص إرشاد أسرى",NA
"995","3604","First:,Second:","المجلس القومي للمرأة","المجلس الأعلى الامومة والطفولة",NA,NA,NA
"996","3605","First:","صفحات و جروبات الفيس بوك",NA,NA,NA,NA
"997","3611","First:,Second:,Third:,Fourth:,Fifth:","لا اعرف","لا اعرف","لا اعرف","لا اعرف","لا اعرف"
"998","3617","First:,Second:","دار الافتاء","التليفزيون والبرامج",NA,NA,NA
"999","3620","First:,Second:","الاهل","محكمه الاسره",NA,NA,NA
"1000","3622","First:,Second:","المجلس القومي للمرءه","محكمه الاسره",NA,NA,NA
"1001","3630","First:,Second:,I do not know any.","حكايات نهاد","0",NA,NA,NA
"1002","3631","First:","المجلس القومي للمرأة",NA,NA,NA,NA
"1003","3635","First:,Second:,I do not know any.","حقوق الإنسان","حقوق المرأة",NA,NA,NA
"1004","3640","First:","جمعيه حقوق المرأة",NA,NA,NA,NA
"1005","3645","First:","Facebook",NA,NA,NA,NA
"1006","3657","First:","الجروبات",NA,NA,NA,NA
"1007","3658","First:,Second:","المجلس القومى للمرأة","بيت حواء",NA,NA,NA
"1008","3663","First:","القسم",NA,NA,NA,NA
"1009","3665","Third:,I do not know any.",NA,NA,NA,NA,NA
"1010","3667","First:","المركز القومي لحقوق المرأه",NA,NA,NA,NA
"1011","3669","First:","المجلس القومي للمرأة",NA,NA,NA,NA
"1012","3673","First:,Second:","هرمون كيبرز<U+0001F602>","دندشة",NA,NA,NA
"1013","3682","First:,Second:,Third:,Fourth:","الكنيسه الانجيليه بقصر الدوباره","كنيسه ماري مرقص بمصر الجديده","برنامج ساعه ونص مشوره علي قناه المكرمه المسيحيه اسبوعيا","انا شخصيا احب ان اقدم تلك المشوره",NA
"1014","3685","First:,Second:","منتدى فتكات","الفيس بوك",NA,NA,NA
"1015","3687","First:,Second:,Third:","الجمعيات","المراكز المختصه","بعض الشخصيات",NA,NA
"1016","3690","First:","التليفزيون",NA,NA,NA,NA
"1017","3693","First:,Fifth:","منظمه حقوق المرأة",NA,NA,NA,"حقوق المرأة"
"1018","3695","First:","16000",NA,NA,NA,NA
"1019","3696","First:","المجلس القومي للمراءة",NA,NA,NA,NA
"1020","3700","First:","لا اعلم",NA,NA,NA,NA
"1021","3703","First:","حقوق المراه",NA,NA,NA,NA
"1022","3707","First:,Second:","استاذة هويدا","برامج تلفزيونية للمرأة",NA,NA,NA
"1023","3708","First:","جمعية حقوق المرأة",NA,NA,NA,NA
"1024","3710","First:","جمعيات اهلية تعمل في مجال حقوق المرأة",NA,NA,NA,NA
"1025","3713","First:,Second:,Third:,Fourth:","المجلس القومى للمراه","الجمعيات النساءيه","جمعيات تنميه المجتمع","وحده المراه بالمجالس المحليه",NA
"1026","3721","First:","المجلس القومي للمرأة",NA,NA,NA,NA
"1027","3724","First:,Second:,Third:","خبراء علاقات زوجيه","هويدا الدمرداش","جمعيات حقوقيه نساءية",NA,NA
"1028","3726","First:,Second:,Third:,Fourth:,I do not know any.","جميعات تحسين اوضاع المراه والطفل","التوعية بقضايا المراه","رضوه الشربيني",NA,NA
"1029","3737","First:","المجلس القومي للمرأة",NA,NA,NA,NA
"1030","3738","First:","وحدة مناهضة العنف ضد المرأة",NA,NA,NA,NA
"1031","3742","First:","مجمع المراة ببنها",NA,NA,NA,NA
"1032","3747","First:,Second:","المؤسسات الاجتماعية","الاهل",NA,NA,NA
"1033","3753","First:","الشرطه",NA,NA,NA,NA
"1034","3757","First:","صفحات تنمية بشرية وحاجات تتعلق بالاسرة عالفيس",NA,NA,NA,NA
"1035","3759","First:,Second:","منظمه حقوق المراه","مؤساسات استشارات زوجيه",NA,NA,NA
"1036","3761","First:","جمعية حقوق المرأة والطفل",NA,NA,NA,NA
"1037","3771","First:","المجلس القومي للمرأة",NA,NA,NA,NA
"1038","3783","First:,Second:,Third:","نهاد","مسلسلات تلفزيونيه","قضايا المراة",NA,NA
"1039","3785","First:,Second:,Third:,Fourth:","الهدوء","التفاهم بينهم","الود","دخول ناس من العائله",NA
"1040","3787","First:","جمعيات تابعه للشئون الاجتماعيه تعمل على ذلك في كل محافظه",NA,NA,NA,NA
"1041","3788","First:,Second:","معاََ نحو اتجاه افضل للنساء","معاََ ضد العنف المنزلي",NA,NA,NA
"1042","3789","First:,Second:,Third:","حقوق الانسان","القومى للمراة","Unisef",NA,NA
"1043","3798","First:,Second:","المجلس القومى للمراه","مكتب شكاوى المراه",NA,NA,NA
"1044","3805","First:","منظمة حقوق المرأة",NA,NA,NA,NA
"1045","3808","First:","المجلس القومي للمرأة",NA,NA,NA,NA
"1046","3813","First:","معهد المشورة الأسرية",NA,NA,NA,NA
"1047","3820","First:,Second:","1919 للبلاغات","مركز حماية المرأة المعنفة",NA,NA,NA
"1048","3825","First:,Second:","منظمة حقوق المرأة",NA,NA,NA,NA
"1049","3827","First:,Second:","حقوق المرأه","برامج للمرأه",NA,NA,NA
"1050","3828","First:,Second:,Third:","دور العباده","طبيب نفسي","جمعيات حمايه المرأة",NA,NA
"1051","3829","First:,Second:","المجلس القومى للمرأة","أسقفية الخدمات العامة و الاجتماعية",NA,NA,NA
"1052","3833","First:,Second:,Third:","المجلس القومي للمرأة","جمعيات أهلية","المركز القومى لصحة المرأة والتعليم",NA,NA
"1053","3837","First:","المجلس القومي للمرأه",NA,NA,NA,NA
"1054","3840","First:,Second:,Third:,Fourth:,Fifth:","حقوق المرأة","رعاية المرأة والطفل","المجلس الوطني لشؤون الأسرة","المؤسسات الداعمة لدور المرأة","حقوق الإنسان"
"1055","3847","First:","المجلس القومي للمرأة",NA,NA,NA,NA
"1056","3853","First:,Second:,Third:","مجلس القومي للمراه","حقوق المراه والطفل",NA,NA,NA
"1057","3854","First:,Second:,Third:,Fourth:,Fifth:","Youtub","Tv","Facebook","Newspaper","Google"
"1058","3858","First:,Second:,Third:","جروبات النساء بوسائل التواصل","الجمعيات النسائيه","محيط العائله",NA,NA
"1059","3859","First:,Second:,Third:,Fourth:,Fifth:","برامج المرأة في التلفاز","دكتور للمشورة الاسرية","البرامج الدينية","البرامج الثقافية","محكمة الاسرة"
"1060","3867","First:","الكنيسه والمرشد الروحى (الأب الكاهن) او خادم المشوره الأسريه",NA,NA,NA,NA
"1061","3872","First:","المركز القومي لحقوق المرأة",NA,NA,NA,NA
"1062","3876","First:,Second:","مودة","مجلات خاصة بالمرأة",NA,NA,NA
"1063","3878","First:","المجلس القومى للمراة",NA,NA,NA,NA
"1064","3883","First:,Second:","المجلس القومى للمرأة","محكمة الاسره",NA,NA,NA
"1065","3884","Second:",NA,"اليونسكو",NA,NA,NA
"1066","3885","First:,I do not know any.","جمعية حقوق المرأة",NA,NA,NA,NA
"1067","3886","First:,Second:","جروبات الفيس بوك","تجارب للنساء على اليوتيوب",NA,NA,NA
"1068","3888","First:,Second:,Third:,Fourth:","مركز قضايا المراه المصريه","المجلس القومي للمراه المعنفه","بيت حواء","المجلس القومى للمراه",NA
"1069","3893","First:,Second:,Third:,Fourth:,Fifth:","وزارة الصحة","المجلس القومى للمرأة","منظمة الصحة العالمية","وزارة الداخلية","جمعيات الحقوق الانسانية"
"1070","3896","First:,Second:","المجلس القومي للمرأة","ممكن بعض الجمعيات الأهلية ولكني لا أعرف اسما معينا",NA,NA,NA
"1071","3904","First:,Second:","برامج","جهات دينية",NA,NA,NA
"1072","3911","First:","المجلس القومي للمراه",NA,NA,NA,NA
"1073","3913","First:,Second:,Third:","التليفزيون","المجلس القومي للمراه","النت",NA,NA
"1074","3914","First:","المجلس القومى للمراه",NA,NA,NA,NA
"1075","3916","First:","المجلس القومي للمراه",NA,NA,NA,NA
"1076","3917","First:","دكتورة هالة سمير",NA,NA,NA,NA
"1077","3922","First:,Second:,Third:","جمعيات حقوق المرأة","منظمة حقوق الانسان","محكمة الاسرة",NA,NA
"1078","3924","First:,I do not know any.","لا اعرف بصراحه",NA,NA,NA,NA
"1079","3931","First:","المركز القومي لحقوق المراة",NA,NA,NA,NA
"1080","3948","First:,Second:,Third:,Fourth:,Fifth:","منظمات دعم المراه","منظمات حقوق المرأه","منظمة المرأة العربيه","منظمة دعم المرأة  والطفل","جميعة حقوق المرأه"
"1081","3953","First:,Second:","المجلس القومى لحقوق المراة",NA,NA,NA,NA
"1082","3954","First:,Second:,Third:,Fourth:,Fifth:","نساء ضد العنف","العنف ضد المرأه","حقوق الإنسان","المجلس الاعلي لحقوق المرأة","حمايه الاسره"
"1083","3955","First:,Second:,Third:,Fourth:","الاسرة","التليفزيون","الفيس","يوتيوب",NA
"1084","3957","First:","مركز حقوق المرأة",NA,NA,NA,NA
"1085","3960","First:,Second:,Third:","المجلس القومي للمرأة","منظمات المجتمع المدني","المجلس القومي للامومه والطفوله",NA,NA
"1086","3967","First:","المجلس القومي لحقوق المرأة",NA,NA,NA,NA
"1087","3977","First:,Second:,Third:,Fourth:,Fifth:","المجلس القومى للمرأة","الجمعيات المناهضة للعنف الاسرى","/","/","/"
"1088","3982","First:,Second:","منظمة المرأة العربية","Oecd",NA,NA,NA
"1089","3983","First:,Second:,Third:,Fourth:","الاهل","الشرطه",NA,"منظمات المرأه",NA
"1090","3985","First:","محكمه الاسره",NA,NA,NA,NA
"1091","3995","First:,Second:,Third:,Fourth:,I do not know any.","...","...",".....","....",NA
"1092","3998","First:,Second:,I do not know any.","Facebook","برامج تليفزيونيه",NA,NA,NA
"1093","4008","First:,Second:,Third:,I do not know any.","محكمة الاسرة","الاهل","الاصدقاء",NA,NA
"1094","4009","First:,Second:,Fourth:,I do not know any.","مبروك عطية","برامج دينية",NA,NA,NA
"1095","4019","First:","رضوى الشربينى",NA,NA,NA,NA
"1096","4030","First:","المجلس القومى للمرأة",NA,NA,NA,NA
"1097","4032","First:","حمله تقدري",NA,NA,NA,NA
"1098","4035","First:,Second:,Third:,Fourth:,Fifth:","واتس اب","فيس بوك","تويتر","يوتيوب","انستجرام"
"1099","4049","First:","جروبات",NA,NA,NA,NA
"1100","4060","First:","المجلس القومي للمرأة",NA,NA,NA,NA
"1101","4065","First:,Second:","فيس بوك","يوتيوب",NA,NA,NA
"1102","4070","First:","النجده",NA,NA,NA,NA
"1103","4072","First:,Second:,Third:","المجلس القومي للحقوق المرأة","منظمة حقوق الإنسان","برامج المرآة",NA,NA
"1104","4074","First:","حقوق المرآه",NA,NA,NA,NA
"1105","4076","First:,Second:,Third:","برنامج  الاستاذه نهاد ابو القمصان","جروب امهات معيلات لاستاذه نرمين","المجلس القومي للمراه",NA,NA
"1106","4077","First:","لا تعرف",NA,NA,NA,NA
"1107","4078","First:","المجلس القومي للمرأة",NA,NA,NA,NA
"1108","4079","First:","المركز القومى للمرأه",NA,NA,NA,NA
"1109","4082","First:","وزارة التضامن",NA,NA,NA,NA
"1110","4088","First:,Second:","برامج التوعية","المجلس القومى للمراة",NA,NA,NA
"1111","4089","First:,Second:","الشؤون الاجتماعية","محكمة الأسرة",NA,NA,NA
"1112","4115","First:","الشرطه",NA,NA,NA,NA
"1113","4125","First:,Second:,Third:,Fourth:","المجلس القومى للمراة","المجلس القومى لحقوق الإنسان","الشرطة","المجلس لمكافحة العنف ضد المرأة",NA
"1114","4131","First:,Second:","مركز النديم","المجلس القومى للمراءه",NA,NA,NA
"1115","4133","First:","المجلس القومي لحقوق المرأة",NA,NA,NA,NA
"1116","4136","First:,Second:,Third:,Fourth:","هيئة كير","مفوضية الأمم المتحدة","اليونسيف",NA,NA
"1117","4140","First:","الفيس بوك",NA,NA,NA,NA
"1118","4142","First:","محكمة الاسرة",NA,NA,NA,NA
"1119","4146","First:,Second:","جمعيات حقوق المراة","نهاد ابو القمصان",NA,NA,NA
"1120","4149","First:,I do not know any.",NA,NA,NA,NA,NA
"1121","4150","First:","جمعيات حقوق المرأة",NA,NA,NA,NA
"1122","4152","First:,Second:,I do not know any.","جمعيه حقوق المراة","لا للعنف ضد النساء",NA,NA,NA
"1123","4157","First:,Second:","المجلس القومي للمرأة","15115",NA,NA,NA
"1124","4158","First:,Second:","اخصائى نفسى","الجمعيات لحقوق المراه",NA,NA,NA
"1125","4160","First:","حقوق المرأة",NA,NA,NA,NA
"1126","4164","First:,Second:,Third:,Fifth:","جمعية ضد العنف","حقوق المرأة","حقوق الانسان",NA,NA
"1127","4165","First:","المركز القومى للمراه",NA,NA,NA,NA
